,Time,BUT
0,1e-12,2.170948909316411e-16
1,2e-12,3.6274229703776985e-16
2,3e-12,4.324700341640446e-16
3,4e-12,6.728883176257383e-16
4,5.0000000000000005e-12,7.711971794363398e-16
5,6e-12,9.238838377714143e-16
6,7.000000000000001e-12,1.0113898030336296e-15
7,8e-12,1.086631980416489e-15
8,9.000000000000001e-12,1.2401556718513155e-15
9,1.0000000000000001e-11,1.3418224242912094e-15
10,1.1e-11,1.4087028659724141e-15
11,1.2e-11,1.4912470164739622e-15
12,1.3e-11,1.5447566531737786e-15
13,1.4000000000000002e-11,1.5921112264409366e-15
14,1.5e-11,1.7441020337007531e-15
15,1.6e-11,1.8333554963813553e-15
16,1.7000000000000003e-11,1.8927694813194695e-15
17,1.8000000000000002e-11,2.0765631465982967e-15
18,1.9000000000000002e-11,2.096241770134174e-15
19,2.0000000000000002e-11,2.2197500657069596e-15
20,2.1000000000000002e-11,2.086855044714652e-15
21,2.2e-11,2.271039636105646e-15
22,2.3e-11,2.3389542538092128e-15
23,2.4e-11,2.406830531121094e-15
24,2.5e-11,2.43716524875939e-15
25,2.6e-11,2.604586519122258e-15
26,2.7000000000000004e-11,2.80428135653649e-15
27,2.8000000000000003e-11,2.8523564218453116e-15
28,2.9000000000000003e-11,2.868019262391677e-15
29,3e-11,2.878151818488003e-15
30,3.1e-11,2.88683586533164e-15
31,3.2e-11,3.117278469735877e-15
32,3.3e-11,3.1058314615041345e-15
33,3.4000000000000005e-11,3.107779804189335e-15
34,3.5e-11,3.135929447311057e-15
35,3.6000000000000005e-11,3.194382347864914e-15
36,3.7e-11,3.2330600027253205e-15
37,3.8000000000000004e-11,3.2436133957758227e-15
38,3.9e-11,3.190524760824113e-15
39,4.0000000000000004e-11,3.314610034598724e-15
40,4.1e-11,3.480584567956662e-15
41,4.2000000000000004e-11,3.607331507090528e-15
42,4.3e-11,3.557022192266314e-15
43,4.4e-11,3.578260447095899e-15
44,4.5000000000000006e-11,3.609972473926507e-15
45,4.6e-11,3.66998219513985e-15
46,4.7000000000000006e-11,3.660346457340592e-15
47,4.8e-11,3.5332401403801167e-15
48,4.9000000000000005e-11,3.4502844782219924e-15
49,5e-11,3.5500552005492137e-15
50,5.1000000000000005e-11,3.4256609050355405e-15
51,5.2e-11,3.5128811903517158e-15
52,5.3000000000000004e-11,3.5897988862775905e-15
53,5.400000000000001e-11,3.4365723899031647e-15
54,5.5000000000000004e-11,3.409620498868283e-15
55,5.600000000000001e-11,3.4372580703065542e-15
56,5.7000000000000003e-11,3.3285214271231103e-15
57,5.8000000000000007e-11,3.382517055473672e-15
58,5.9e-11,3.358852148911595e-15
59,6e-11,3.3930369718901783e-15
60,6.100000000000001e-11,3.4408264239960382e-15
61,6.2e-11,3.5399468758220913e-15
62,6.3e-11,3.6638931861108075e-15
63,6.4e-11,3.7167591590379315e-15
64,6.500000000000001e-11,3.7110632567001264e-15
65,6.6e-11,3.653568361211648e-15
66,6.7e-11,3.638005290378128e-15
67,6.800000000000001e-11,3.910977973796741e-15
68,6.900000000000001e-11,3.741314598207277e-15
69,7e-11,3.706396348056479e-15
70,7.1e-11,3.718155393241163e-15
71,7.200000000000001e-11,3.777196601922074e-15
72,7.3e-11,3.7061533800430496e-15
73,7.4e-11,3.890863946259047e-15
74,7.5e-11,4.055998571865581e-15
75,7.600000000000001e-11,4.218109875511932e-15
76,7.7e-11,4.32210596182024e-15
77,7.8e-11,4.509627156885909e-15
78,7.900000000000001e-11,4.727981554193091e-15
79,8.000000000000001e-11,4.843865740928066e-15
80,8.1e-11,4.6642865188192856e-15
81,8.2e-11,4.5620525115522254e-15
82,8.300000000000001e-11,4.525519558689166e-15
83,8.400000000000001e-11,4.650064533218271e-15
84,8.5e-11,4.729008305618269e-15
85,8.6e-11,4.668734047457756e-15
86,8.700000000000001e-11,4.629640161863572e-15
87,8.8e-11,4.60170116891701e-15
88,8.9e-11,4.605920850934554e-15
89,9.000000000000001e-11,4.699661332319107e-15
90,9.100000000000001e-11,4.750961763595239e-15
91,9.2e-11,4.992398225257235e-15
92,9.3e-11,4.904053363832113e-15
93,9.400000000000001e-11,4.9062978258276915e-15
94,9.500000000000001e-11,5.036888543949074e-15
95,9.6e-11,5.0972910672011454e-15
96,9.7e-11,5.212876869538861e-15
97,9.800000000000001e-11,5.179192333650327e-15
98,9.900000000000001e-11,5.2529259166143525e-15
99,1e-10,5.4067024702086675e-15
100,1.0100000000000001e-10,5.505088826513795e-15
101,1.0200000000000001e-10,5.537045667827448e-15
102,1.03e-10,5.557801411024098e-15
103,1.04e-10,5.376451173138123e-15
104,1.0500000000000001e-10,5.428645509536444e-15
105,1.0600000000000001e-10,5.581752279434249e-15
106,1.07e-10,5.554712883046254e-15
107,1.0800000000000001e-10,5.665350680835074e-15
108,1.0900000000000001e-10,5.785843844717949e-15
109,1.1000000000000001e-10,6.072657683923694e-15
110,1.11e-10,5.926392759617085e-15
111,1.1200000000000001e-10,6.0152927423882475e-15
112,1.1300000000000001e-10,6.173585847033641e-15
113,1.1400000000000001e-10,6.102158293216702e-15
114,1.15e-10,6.0720626916029005e-15
115,1.1600000000000001e-10,6.185313582624802e-15
116,1.17e-10,6.177882248376618e-15
117,1.18e-10,6.457647316375031e-15
118,1.19e-10,6.430744970453911e-15
119,1.2e-10,6.224825514394714e-15
120,1.2100000000000002e-10,6.559208298595709e-15
121,1.2200000000000002e-10,6.494521015887521e-15
122,1.2300000000000001e-10,6.669180898727053e-15
123,1.24e-10,7.025981914092086e-15
124,1.25e-10,6.997038681104825e-15
125,1.26e-10,7.008136196148651e-15
126,1.27e-10,6.644840863380024e-15
127,1.28e-10,6.4907558496006294e-15
128,1.2900000000000002e-10,6.2917511126277654e-15
129,1.3000000000000002e-10,6.435763790795446e-15
130,1.31e-10,6.284681119071077e-15
131,1.32e-10,6.524869841318296e-15
132,1.33e-10,6.8437920490188664e-15
133,1.34e-10,6.814655603821761e-15
134,1.35e-10,6.7395216560111335e-15
135,1.3600000000000002e-10,7.15016739795698e-15
136,1.3700000000000002e-10,7.01239832326434e-15
137,1.3800000000000001e-10,6.881638531886235e-15
138,1.39e-10,6.9291698744692005e-15
139,1.4e-10,6.980274611457193e-15
140,1.41e-10,7.177530704262292e-15
141,1.42e-10,7.276818104102332e-15
142,1.4300000000000002e-10,7.152937215554667e-15
143,1.4400000000000002e-10,7.173328541248997e-15
144,1.4500000000000002e-10,7.470428941413118e-15
145,1.46e-10,7.477441914955343e-15
146,1.47e-10,7.319621952054387e-15
147,1.48e-10,7.193034093194529e-15
148,1.49e-10,7.404833405329892e-15
149,1.5e-10,7.193547556676667e-15
150,1.5100000000000002e-10,7.184749935807558e-15
151,1.5200000000000002e-10,7.147510897633367e-15
152,1.5300000000000001e-10,7.152528917571303e-15
153,1.54e-10,7.162673653774825e-15
154,1.55e-10,7.179611163826731e-15
155,1.56e-10,7.420032673791072e-15
156,1.57e-10,7.410221531752797e-15
157,1.5800000000000002e-10,7.50584736656761e-15
158,1.5900000000000002e-10,7.642051540900113e-15
159,1.6000000000000002e-10,7.348434502445058e-15
160,1.61e-10,7.170487014492404e-15
161,1.62e-10,7.490401533062753e-15
162,1.63e-10,7.670413445930888e-15
163,1.64e-10,7.57396669193449e-15
164,1.6500000000000002e-10,7.457899152431086e-15
165,1.6600000000000002e-10,7.573145962296104e-15
166,1.6700000000000002e-10,7.812773320855368e-15
167,1.6800000000000001e-10,7.704137915382252e-15
168,1.69e-10,7.932237352603716e-15
169,1.7e-10,8.058639635047703e-15
170,1.71e-10,7.909280183675815e-15
171,1.72e-10,8.030767723666476e-15
172,1.7300000000000002e-10,7.970979620422665e-15
173,1.7400000000000002e-10,8.210139154377175e-15
174,1.7500000000000002e-10,8.383131515627263e-15
175,1.76e-10,8.401968082934291e-15
176,1.77e-10,8.348225121240734e-15
177,1.78e-10,8.382103269226687e-15
178,1.79e-10,8.482198698648194e-15
179,1.8000000000000002e-10,8.373266908390317e-15
180,1.8100000000000002e-10,8.237977768071205e-15
181,1.8200000000000002e-10,8.152557599764776e-15
182,1.8300000000000001e-10,8.399283102601885e-15
183,1.84e-10,8.425806301441034e-15
184,1.85e-10,8.507082432066336e-15
185,1.86e-10,8.42010387580541e-15
186,1.8700000000000003e-10,8.21380498927605e-15
187,1.8800000000000002e-10,8.376804084662801e-15
188,1.8900000000000002e-10,8.442300142473638e-15
189,1.9000000000000002e-10,8.44645805014601e-15
190,1.91e-10,8.620649261124973e-15
191,1.92e-10,8.463865070255581e-15
192,1.93e-10,8.323342728680219e-15
193,1.94e-10,8.521633636057668e-15
194,1.9500000000000002e-10,8.49604534889351e-15
195,1.9600000000000002e-10,8.611929074050587e-15
196,1.9700000000000002e-10,8.885036755890362e-15
197,1.9800000000000001e-10,9.229845312500784e-15
198,1.99e-10,9.033880555793835e-15
199,2e-10,9.032196815790032e-15
200,2.01e-10,8.904776023246994e-15
201,2.0200000000000003e-10,8.55404654877195e-15
202,2.0300000000000002e-10,8.802083152269916e-15
203,2.0400000000000002e-10,8.71060609727916e-15
204,2.0500000000000002e-10,8.786009042702658e-15
205,2.06e-10,8.718564439444846e-15
206,2.07e-10,8.70485304556314e-15
207,2.08e-10,8.794082505831305e-15
208,2.0900000000000003e-10,8.802370720397547e-15
209,2.1000000000000002e-10,8.664859053084451e-15
210,2.1100000000000002e-10,8.588996885027778e-15
211,2.1200000000000002e-10,8.699782560807573e-15
212,2.1300000000000001e-10,8.647048902268512e-15
213,2.14e-10,8.72315407225945e-15
214,2.15e-10,8.797981370881145e-15
215,2.1600000000000003e-10,8.681323402349798e-15
216,2.1700000000000003e-10,8.629062267396674e-15
217,2.1800000000000002e-10,8.765614673401099e-15
218,2.1900000000000002e-10,9.075260183305044e-15
219,2.2000000000000002e-10,9.243178899897113e-15
220,2.21e-10,9.022703111814882e-15
221,2.22e-10,9.132258211079305e-15
222,2.23e-10,9.166652964946792e-15
223,2.2400000000000003e-10,9.490370591718835e-15
224,2.2500000000000002e-10,9.470531379631198e-15
225,2.2600000000000002e-10,9.591180218144139e-15
226,2.2700000000000002e-10,9.590596142771555e-15
227,2.2800000000000001e-10,9.5932310978935e-15
228,2.29e-10,9.69098052475163e-15
229,2.3e-10,9.643004160199922e-15
230,2.3100000000000003e-10,9.489600544873507e-15
231,2.3200000000000003e-10,9.51428552647144e-15
232,2.33e-10,9.85009922964472e-15
233,2.34e-10,9.92446970658069e-15
234,2.35e-10,9.6190243622301e-15
235,2.36e-10,9.891178898033646e-15
236,2.37e-10,9.749434597530455e-15
237,2.38e-10,9.974046205659756e-15
238,2.39e-10,1.0177433162424656e-14
239,2.4e-10,1.0425457615650059e-14
240,2.41e-10,1.0338207468882835e-14
241,2.4200000000000004e-10,1.0266950952005182e-14
242,2.4300000000000004e-10,1.0302072112193228e-14
243,2.4400000000000004e-10,1.0309817366573954e-14
244,2.4500000000000003e-10,1.0442879042316757e-14
245,2.4600000000000003e-10,1.0080982897508384e-14
246,2.4700000000000003e-10,1.0221472119766658e-14
247,2.48e-10,1.0076534274774662e-14
248,2.49e-10,1.0240566167647322e-14
249,2.5e-10,1.0267861939794257e-14
250,2.51e-10,1.0442727129453773e-14
251,2.52e-10,1.0490534424252722e-14
252,2.53e-10,1.0488263159979398e-14
253,2.54e-10,1.045422599387391e-14
254,2.55e-10,1.0624661022288588e-14
255,2.56e-10,1.093450086535958e-14
256,2.5700000000000004e-10,1.1141342318089786e-14
257,2.5800000000000004e-10,1.1518400481901086e-14
258,2.5900000000000004e-10,1.1525228361990643e-14
259,2.6000000000000003e-10,1.1526566023240438e-14
260,2.6100000000000003e-10,1.137162709732569e-14
261,2.62e-10,1.137379711223166e-14
262,2.63e-10,1.1376619415147713e-14
263,2.64e-10,1.1399642804693312e-14
264,2.65e-10,1.1359341907496982e-14
265,2.66e-10,1.1481114276064804e-14
266,2.67e-10,1.1384185830641245e-14
267,2.68e-10,1.1731709344454624e-14
268,2.69e-10,1.1694201689812658e-14
269,2.7e-10,1.1516719453629462e-14
270,2.7100000000000005e-10,1.141965738665435e-14
271,2.7200000000000004e-10,1.1326384333191053e-14
272,2.7300000000000004e-10,1.1312034301364711e-14
273,2.7400000000000004e-10,1.148692363986e-14
274,2.7500000000000003e-10,1.1768221595709248e-14
275,2.7600000000000003e-10,1.2009545214924256e-14
276,2.77e-10,1.1991079319345972e-14
277,2.78e-10,1.1784936815882301e-14
278,2.79e-10,1.2115709183707208e-14
279,2.8e-10,1.219897634097546e-14
280,2.81e-10,1.226902527582751e-14
281,2.82e-10,1.2354679793104295e-14
282,2.83e-10,1.22856560744256e-14
283,2.84e-10,1.1999609663833719e-14
284,2.85e-10,1.1780250389695787e-14
285,2.8600000000000005e-10,1.2006987253101049e-14
286,2.8700000000000004e-10,1.1898591470132348e-14
287,2.8800000000000004e-10,1.1974920663977215e-14
288,2.8900000000000004e-10,1.1929627089977016e-14
289,2.9000000000000003e-10,1.2077386461668126e-14
290,2.9100000000000003e-10,1.1981012629780437e-14
291,2.92e-10,1.1811508173871788e-14
292,2.93e-10,1.173762701224817e-14
293,2.94e-10,1.2005482612492846e-14
294,2.95e-10,1.2038771516213321e-14
295,2.96e-10,1.1989765463455502e-14
296,2.97e-10,1.2392459176425815e-14
297,2.98e-10,1.2514338240658096e-14
298,2.99e-10,1.278290491238226e-14
299,3e-10,1.284453422612471e-14
300,3.0100000000000005e-10,1.2878814983144456e-14
301,3.0200000000000004e-10,1.2779610983805164e-14
302,3.0300000000000004e-10,1.2935720197726147e-14
303,3.0400000000000004e-10,1.260861941994788e-14
304,3.0500000000000003e-10,1.2784767097389552e-14
305,3.0600000000000003e-10,1.2670955664319011e-14
306,3.07e-10,1.276035257523246e-14
307,3.08e-10,1.3041278826236743e-14
308,3.09e-10,1.3318246374047745e-14
309,3.1e-10,1.3204831122578131e-14
310,3.11e-10,1.3561873654254844e-14
311,3.12e-10,1.3468940191263761e-14
312,3.13e-10,1.3647873125283005e-14
313,3.14e-10,1.3896666495779386e-14
314,3.1500000000000005e-10,1.3959816644139972e-14
315,3.1600000000000005e-10,1.4388798023896422e-14
316,3.1700000000000004e-10,1.4478995126879103e-14
317,3.1800000000000004e-10,1.4295588831240755e-14
318,3.1900000000000004e-10,1.422469207748901e-14
319,3.2000000000000003e-10,1.4476849648481777e-14
320,3.2100000000000003e-10,1.4132267413177162e-14
321,3.22e-10,1.3952280539190521e-14
322,3.23e-10,1.3407312422709273e-14
323,3.24e-10,1.35315408771733e-14
324,3.25e-10,1.3572201135630726e-14
325,3.26e-10,1.3558948622126464e-14
326,3.27e-10,1.3706515211911723e-14
327,3.28e-10,1.3719345510323016e-14
328,3.29e-10,1.3762062545744378e-14
329,3.3000000000000005e-10,1.3931036594668311e-14
330,3.3100000000000005e-10,1.3926505023555794e-14
331,3.3200000000000004e-10,1.3914933878478933e-14
332,3.3300000000000004e-10,1.4193458980532373e-14
333,3.3400000000000004e-10,1.4139112244576896e-14
334,3.3500000000000003e-10,1.4471239637867505e-14
335,3.3600000000000003e-10,1.4449969488600897e-14
336,3.37e-10,1.422251433923261e-14
337,3.38e-10,1.4611061396398426e-14
338,3.39e-10,1.4778610586844383e-14
339,3.4e-10,1.4402606427888708e-14
340,3.41e-10,1.433540821842864e-14
341,3.42e-10,1.432765695182827e-14
342,3.43e-10,1.4438912688523617e-14
