,Time,BUT,DMA
0,1e-12,9.172418160666308e-17,7.283182522407045e-17
1,2e-12,1.350374996331517e-16,1.1483427825038538e-16
2,3e-12,1.85154704189548e-16,1.3462798573522213e-16
3,4e-12,2.0539795296419306e-16,1.6636917330486456e-16
4,5.0000000000000005e-12,2.135260885981806e-16,1.807609546195946e-16
5,6e-12,2.5759168451636126e-16,2.0468319588639362e-16
6,7.000000000000001e-12,2.448426175612717e-16,1.833034402368708e-16
7,8e-12,2.889313731730404e-16,2.244116697846897e-16
8,9.000000000000001e-12,3.0323723958687194e-16,2.2543827648183196e-16
9,1.0000000000000001e-11,3.504013527104168e-16,2.522971330773089e-16
10,1.1e-11,2.9637723354346285e-16,2.477354847937826e-16
11,1.2e-11,3.369912520567313e-16,2.4994162511718926e-16
12,1.3e-11,3.186407084281937e-16,2.6736023675385397e-16
13,1.4000000000000002e-11,3.489767035590354e-16,2.8579422620508126e-16
14,1.5e-11,3.5011071116734054e-16,2.9350585297129165e-16
15,1.6e-11,3.529642495806521e-16,2.6603291024845063e-16
16,1.7000000000000003e-11,3.5141164539137083e-16,2.779783572844229e-16
17,1.8000000000000002e-11,3.744564694284556e-16,2.9298772123621823e-16
18,1.9000000000000002e-11,3.8487623532225283e-16,3.1384048713269734e-16
19,2.0000000000000002e-11,4.3846401021162436e-16,3.637936554567128e-16
20,2.1000000000000002e-11,4.605871013633304e-16,3.7850392040081744e-16
21,2.2e-11,4.856186116326762e-16,4.2265491963213274e-16
22,2.3e-11,4.77773403566987e-16,4.2758477171777816e-16
23,2.4e-11,4.853772689092358e-16,3.786234173923535e-16
24,2.5e-11,5.738101190589346e-16,3.6460291718067336e-16
25,2.6e-11,5.38840155803133e-16,4.708799118488154e-16
26,2.7000000000000004e-11,6.941231788535526e-16,5.243109303592377e-16
27,2.8000000000000003e-11,6.258257642040861e-16,5.155996189098894e-16
28,2.9000000000000003e-11,6.086219433382567e-16,5.384051141657375e-16
29,3e-11,6.582556744074922e-16,5.589408611720251e-16
30,3.1e-11,6.401662912719659e-16,5.453428627343205e-16
31,3.2e-11,6.629686639765082e-16,5.601642137664391e-16
32,3.3e-11,6.136233759470424e-16,5.339380830676008e-16
33,3.4000000000000005e-11,5.647964413269469e-16,5.214728447226415e-16
34,3.5e-11,5.787416869559721e-16,5.477715919383389e-16
35,3.6000000000000005e-11,5.849623722827395e-16,5.367074332560219e-16
36,3.7e-11,6.150220166152656e-16,5.485947468460742e-16
37,3.8000000000000004e-11,6.733887619006991e-16,5.17899816368139e-16
38,3.9e-11,6.871541358140494e-16,5.58210614303218e-16
39,4.0000000000000004e-11,7.417267141948762e-16,5.469026065807427e-16
40,4.1e-11,7.121425805442083e-16,5.573076703777408e-16
41,4.2000000000000004e-11,7.056229634839806e-16,5.778746187062787e-16
42,4.3e-11,7.644991858747511e-16,5.983881926776365e-16
43,4.4e-11,6.676941426914144e-16,5.887875867346476e-16
44,4.5000000000000006e-11,6.479235610384415e-16,5.515082551404114e-16
45,4.6e-11,6.697467457435422e-16,5.106619236572641e-16
46,4.7000000000000006e-11,6.489251185705098e-16,5.480373318010728e-16
47,4.8e-11,6.207215112317907e-16,5.757671801808122e-16
48,4.9000000000000005e-11,6.999175732005168e-16,5.688974864073239e-16
49,5e-11,6.325874131042158e-16,5.702377661089673e-16
50,5.1000000000000005e-11,7.268063991188659e-16,5.543975901532071e-16
51,5.2e-11,6.882936994547586e-16,5.816096282856118e-16
52,5.3000000000000004e-11,7.274093215118803e-16,5.535342515209422e-16
53,5.400000000000001e-11,7.143081348886045e-16,5.574865485459631e-16
54,5.5000000000000004e-11,7.591689003453494e-16,5.758564971000402e-16
55,5.600000000000001e-11,6.769943306023817e-16,5.728235970499676e-16
56,5.7000000000000003e-11,6.701507295698139e-16,5.479156767504931e-16
57,5.8000000000000007e-11,7.114189599032722e-16,5.642705090586711e-16
58,5.9e-11,7.065854637901465e-16,5.514284860489869e-16
59,6e-11,7.11002736674853e-16,5.409754836518956e-16
60,6.100000000000001e-11,6.753107109421638e-16,5.279806471287603e-16
61,6.2e-11,6.664340566818903e-16,5.226676282224889e-16
62,6.3e-11,6.391148594062958e-16,5.310757445144336e-16
63,6.4e-11,6.184956846218429e-16,5.325157441432812e-16
64,6.500000000000001e-11,6.155309724620274e-16,5.41444409380354e-16
65,6.6e-11,6.549046888609442e-16,5.339379037353078e-16
66,6.7e-11,5.934700893498041e-16,5.552147687461799e-16
67,6.800000000000001e-11,6.637218636302956e-16,5.618232082274177e-16
68,6.900000000000001e-11,6.618877187370607e-16,5.690472604817156e-16
69,7e-11,6.677056930796067e-16,5.629222821361009e-16
70,7.1e-11,7.171797251145549e-16,5.894138537287121e-16
