,Time,BUT,PET
0,1e-12,1.1222376356176804e-16,7.355994270076775e-17
1,2e-12,1.6368059393994646e-16,1.0812459007576178e-16
2,3e-12,1.9853647305012984e-16,1.2312705895921038e-16
3,4e-12,2.3800566537482503e-16,1.6163798107779476e-16
4,5.0000000000000005e-12,2.443848890440273e-16,1.680753361816305e-16
5,6e-12,2.944800839160155e-16,2.1324124091973137e-16
6,7.000000000000001e-12,2.983262425636822e-16,2.2807496805063213e-16
7,8e-12,3.3237176604717794e-16,2.609091002956702e-16
8,9.000000000000001e-12,3.81970527770389e-16,2.7314678553345585e-16
9,1.0000000000000001e-11,3.7995911589137257e-16,2.7792690912113473e-16
