,Time,PET,BUT
0,1e-12,5.220470401732457e-17,9.541513250369391e-17
1,2e-12,6.597404587368568e-17,9.363020981565655e-17
2,3e-12,6.746218337653639e-17,1.2245686794270817e-16
3,4e-12,7.621023338003447e-17,1.2604771943240269e-16
4,5.0000000000000005e-12,9.480534044401376e-17,1.7699910236941833e-16
5,6e-12,9.502554779632724e-17,1.7143444585276549e-16
6,7.000000000000001e-12,8.865524337069725e-17,1.9473223879466597e-16
7,8e-12,9.897698765412448e-17,2.040157631575628e-16
8,9.000000000000001e-12,1.0821354224291266e-16,2.065934908616906e-16
9,1.0000000000000001e-11,1.343983539582949e-16,2.4798083848682805e-16
10,1.1e-11,1.3580113435555695e-16,2.336139606520385e-16
11,1.2e-11,1.2637034594136032e-16,2.3560081946255535e-16
12,1.3e-11,1.6187340908071804e-16,2.9572657865455907e-16
13,1.4000000000000002e-11,1.5155647164382075e-16,2.790454345418906e-16
14,1.5e-11,1.3739494176818429e-16,3.0474944178464385e-16
15,1.6e-11,1.3095217101466417e-16,2.74801342877867e-16
16,1.7000000000000003e-11,1.298061315353497e-16,3.023935765360325e-16
17,1.8000000000000002e-11,1.401229873859407e-16,3.0178813218481616e-16
18,1.9000000000000002e-11,1.417150466974622e-16,3.181111889558061e-16
19,2.0000000000000002e-11,1.6037284747085503e-16,3.4173577520900424e-16
20,2.1000000000000002e-11,1.578612379273242e-16,2.9779451442687365e-16
21,2.2e-11,1.7392419827728445e-16,3.157488237895782e-16
22,2.3e-11,1.6140540043645796e-16,3.123080772086059e-16
23,2.4e-11,1.6730462380296728e-16,3.34869842345937e-16
24,2.5e-11,1.5567283284329662e-16,3.241410246370358e-16
25,2.6e-11,1.6711177947484858e-16,3.288910719687027e-16
26,2.7000000000000004e-11,1.6689013447851552e-16,3.3891843545882327e-16
27,2.8000000000000003e-11,1.6709530230173246e-16,3.599871952883634e-16
28,2.9000000000000003e-11,1.7854857839142855e-16,3.3114756182528052e-16
29,3e-11,1.748764173156379e-16,3.407910702426696e-16
30,3.1e-11,1.629316221210911e-16,3.2533317703350333e-16
31,3.2e-11,1.6725427454159848e-16,3.312099918918062e-16
32,3.3e-11,1.6821513139260822e-16,3.4269598120226614e-16
33,3.4000000000000005e-11,1.7430048255705471e-16,3.2957380151920096e-16
34,3.5e-11,1.6963219583936739e-16,3.2969716670335563e-16
35,3.6000000000000005e-11,1.7864013217081436e-16,3.46392955271345e-16
36,3.7e-11,1.7784214979542754e-16,3.524903124469698e-16
37,3.8000000000000004e-11,1.8465467844308585e-16,3.481410285555363e-16
38,3.9e-11,1.962604924216553e-16,3.7761792632116254e-16
39,4.0000000000000004e-11,1.686363212025005e-16,3.8351906196477014e-16
40,4.1e-11,1.8326219155196278e-16,3.721476496396248e-16
41,4.2000000000000004e-11,1.8451401662808423e-16,3.6942972459739376e-16
42,4.3e-11,1.7559114425500878e-16,3.7776525944526694e-16
43,4.4e-11,1.733765109652693e-16,4.0219749276913426e-16
44,4.5000000000000006e-11,1.7921484740062682e-16,3.7703512695912403e-16
45,4.6e-11,1.8495457965671442e-16,4.2229870141289467e-16
46,4.7000000000000006e-11,1.734439927245608e-16,3.7454520830189655e-16
47,4.8e-11,1.795211024784614e-16,3.670515442758092e-16
48,4.9000000000000005e-11,1.8418484229557992e-16,3.8262372124765276e-16
49,5e-11,1.7978993504595124e-16,3.815558745652465e-16
50,5.1000000000000005e-11,1.7964997159651413e-16,3.5947623577459886e-16
51,5.2e-11,1.872307069968631e-16,4.389332176794448e-16
52,5.3000000000000004e-11,1.9829379811611838e-16,4.478034464337886e-16
53,5.400000000000001e-11,2.1244915992049668e-16,4.698549754136617e-16
54,5.5000000000000004e-11,2.1724353163953718e-16,4.652848760297552e-16
55,5.600000000000001e-11,2.0485991423278894e-16,4.3572330404361423e-16
56,5.7000000000000003e-11,1.936496048749168e-16,4.29409026341932e-16
57,5.8000000000000007e-11,2.1099742282832916e-16,4.474467394987367e-16
58,5.9e-11,2.1575215467197996e-16,4.402096262595864e-16
59,6e-11,2.1136907991068486e-16,4.1570695276502197e-16
60,6.100000000000001e-11,1.956288660143183e-16,4.4041016659571904e-16
61,6.2e-11,2.069471425298821e-16,4.2370301838823057e-16
62,6.3e-11,2.136466273751974e-16,4.2237667173095097e-16
63,6.4e-11,2.299578854645207e-16,4.626538226917052e-16
64,6.500000000000001e-11,2.221030319485681e-16,4.582315857939343e-16
65,6.6e-11,2.369271999191283e-16,4.594459332034206e-16
66,6.7e-11,2.3072542911392465e-16,4.879488038433924e-16
67,6.800000000000001e-11,2.311015389498247e-16,4.713996770236701e-16
68,6.900000000000001e-11,2.3685095562739633e-16,4.3563826385175594e-16
69,7e-11,2.486470293607669e-16,4.558448083765933e-16
70,7.1e-11,2.495229863674003e-16,4.317362277816875e-16
71,7.200000000000001e-11,2.4084154463617e-16,4.348317643425305e-16
72,7.3e-11,2.683887183945066e-16,4.669297100175812e-16
73,7.4e-11,2.50184599970077e-16,4.508762883686229e-16
74,7.5e-11,2.643581702262256e-16,5.041345144755859e-16
75,7.600000000000001e-11,2.618664781786235e-16,4.922623771791748e-16
76,7.7e-11,2.6336256201818006e-16,4.950034874215818e-16
77,7.8e-11,2.799561373810029e-16,5.411723596577334e-16
78,7.900000000000001e-11,2.856145916311134e-16,5.27405659701616e-16
79,8.000000000000001e-11,2.7093605080930147e-16,5.199222197765531e-16
80,8.1e-11,2.7549979485029237e-16,5.19300045541874e-16
81,8.2e-11,3.026076660352599e-16,5.726594042793644e-16
82,8.300000000000001e-11,2.885469246979048e-16,5.043464626289077e-16
83,8.400000000000001e-11,2.975800285208855e-16,5.668547977004378e-16
84,8.5e-11,2.8526761088351853e-16,5.371439761293777e-16
85,8.6e-11,2.948947578100677e-16,5.651269835308547e-16
86,8.700000000000001e-11,2.9918703632115153e-16,5.979009258401558e-16
87,8.8e-11,2.9416528910736707e-16,5.615255770322677e-16
88,8.9e-11,3.0639651322392567e-16,5.76829254326225e-16
89,9.000000000000001e-11,3.0221189643897014e-16,5.709379710970701e-16
90,9.100000000000001e-11,3.1900186195683433e-16,5.957746294137822e-16
91,9.2e-11,3.2747654685514307e-16,6.360282685240196e-16
92,9.3e-11,3.390262852199689e-16,6.242483550682356e-16
93,9.400000000000001e-11,3.258994213823655e-16,6.120111687917838e-16
94,9.500000000000001e-11,3.3354366707413376e-16,6.551129344605175e-16
95,9.6e-11,3.3227280136698907e-16,6.277077025039489e-16
96,9.7e-11,3.2394371601982076e-16,6.664028955398664e-16
97,9.800000000000001e-11,3.4026451227592175e-16,6.352014561062916e-16
98,9.900000000000001e-11,3.5369723839246133e-16,6.739079058963119e-16
99,1e-10,3.4126613425941864e-16,6.423979476061837e-16
100,1.0100000000000001e-10,3.3078956764458147e-16,6.484861245935654e-16
101,1.0200000000000001e-10,3.3167114895775906e-16,6.271871562010345e-16
102,1.03e-10,3.3664126881170416e-16,7.074303126735432e-16
103,1.04e-10,3.247945897045975e-16,6.42091351334898e-16
104,1.0500000000000001e-10,3.413483174167961e-16,6.618028819694735e-16
105,1.0600000000000001e-10,3.671043017934441e-16,7.213557093433238e-16
106,1.07e-10,3.4582255245007127e-16,7.179660392445592e-16
107,1.0800000000000001e-10,3.3710552846289465e-16,7.300211311539637e-16
108,1.0900000000000001e-10,3.635103547224971e-16,7.206516835694381e-16
109,1.1000000000000001e-10,3.3262867841279306e-16,7.0666651319067695e-16
110,1.11e-10,3.443401305825515e-16,7.317971876425391e-16
111,1.1200000000000001e-10,3.0620319967881163e-16,6.862952562711467e-16
112,1.1300000000000001e-10,3.3091496915982136e-16,6.671034472772038e-16
113,1.1400000000000001e-10,3.2779788603689047e-16,6.657945646304726e-16
114,1.15e-10,3.4188990638351356e-16,6.632495037878135e-16
115,1.1600000000000001e-10,3.378554649897957e-16,7.27394321140695e-16
116,1.17e-10,3.480087134180066e-16,7.580634500941809e-16
117,1.18e-10,3.217766317131066e-16,7.17399984207136e-16
118,1.19e-10,3.258702027308384e-16,6.934208368980721e-16
119,1.2e-10,3.4711943247638447e-16,6.83380777372809e-16
120,1.2100000000000002e-10,3.357984098267082e-16,6.819574688631852e-16
121,1.2200000000000002e-10,3.5783219840632356e-16,7.036497575883243e-16
122,1.2300000000000001e-10,3.398978501197997e-16,6.854264784601146e-16
123,1.24e-10,3.7677915581074715e-16,6.754118136133936e-16
124,1.25e-10,3.28877910385674e-16,6.69727638236156e-16
125,1.26e-10,3.4380586308605947e-16,6.789976002906768e-16
126,1.27e-10,3.4382898176677883e-16,6.743767025394909e-16
127,1.28e-10,3.550368290193092e-16,7.22865551598857e-16
128,1.2900000000000002e-10,3.456786809087556e-16,6.961964130888212e-16
129,1.3000000000000002e-10,3.508283353501716e-16,6.754481996953218e-16
130,1.31e-10,3.290778478574794e-16,7.888777339786249e-16
131,1.32e-10,3.373625528495375e-16,7.271893243265962e-16
132,1.33e-10,3.5884729156752563e-16,7.608819081292155e-16
133,1.34e-10,3.827997193380269e-16,7.731278896880693e-16
134,1.35e-10,3.8231932626559903e-16,7.60000490738274e-16
135,1.3600000000000002e-10,3.9139742316695653e-16,7.698824422454764e-16
136,1.3700000000000002e-10,4.155649471175731e-16,7.673661942620416e-16
137,1.3800000000000001e-10,3.826465421374084e-16,7.687142442636417e-16
138,1.39e-10,4.1294062855402585e-16,8.21937129718566e-16
139,1.4e-10,4.101968452351552e-16,8.722267632323516e-16
140,1.41e-10,4.1596071527342e-16,8.637320597367438e-16
141,1.42e-10,4.104647293537834e-16,7.606164869243747e-16
142,1.4300000000000002e-10,4.3432337770816393e-16,8.19196416950329e-16
143,1.4400000000000002e-10,4.090967155727334e-16,7.83374380406043e-16
144,1.4500000000000002e-10,3.89937883442283e-16,7.955411723833823e-16
145,1.46e-10,4.096972390309155e-16,8.286879239614388e-16
146,1.47e-10,4.1647364750530566e-16,8.2380846210334915e-16
147,1.48e-10,4.3257786328635155e-16,8.219119672537675e-16
148,1.49e-10,4.3755555754039285e-16,7.815472578812843e-16
149,1.5e-10,4.169268426650543e-16,8.007107928963831e-16
150,1.5100000000000002e-10,4.321217454767103e-16,8.099811251872621e-16
151,1.5200000000000002e-10,4.272284280963933e-16,8.640750867421268e-16
152,1.5300000000000001e-10,4.2719666631826026e-16,8.556803450644307e-16
153,1.54e-10,4.153418580216011e-16,8.314773063659088e-16
154,1.55e-10,4.177790099359408e-16,8.653217903894199e-16
155,1.56e-10,4.0658909937420013e-16,7.99344322952761e-16
156,1.57e-10,4.265232335321295e-16,8.359495232029935e-16
157,1.5800000000000002e-10,4.472418021045343e-16,7.935164685015501e-16
158,1.5900000000000002e-10,4.451225124176728e-16,7.952797845599446e-16
159,1.6000000000000002e-10,4.3133956947204897e-16,7.942371421207994e-16
160,1.61e-10,4.3879882674819274e-16,8.075655737539711e-16
161,1.62e-10,4.509851839541914e-16,7.696556295198191e-16
162,1.63e-10,4.495015650773405e-16,8.106380672961929e-16
163,1.64e-10,4.228571195598987e-16,8.373996635136256e-16
164,1.6500000000000002e-10,4.6423553810275e-16,8.566161424457193e-16
165,1.6600000000000002e-10,4.533135305286697e-16,7.868055021727911e-16
166,1.6700000000000002e-10,4.479943856429966e-16,8.195679564753313e-16
167,1.6800000000000001e-10,4.498628482174031e-16,7.770108074793024e-16
168,1.69e-10,4.61111949435459e-16,8.10253846511815e-16
169,1.7e-10,4.710203465257685e-16,8.136832750722083e-16
170,1.71e-10,4.281218765993154e-16,7.891658764288773e-16
171,1.72e-10,4.210303996495027e-16,8.221669106804975e-16
172,1.7300000000000002e-10,4.324157148904857e-16,8.067105966725482e-16
173,1.7400000000000002e-10,4.446152933061045e-16,8.331765499166698e-16
174,1.7500000000000002e-10,4.452866217352091e-16,8.484428713238833e-16
175,1.76e-10,4.480081020650428e-16,8.072662316646194e-16
176,1.77e-10,4.47333008454179e-16,7.863004952189865e-16
177,1.78e-10,4.708062608414018e-16,8.260923680540725e-16
178,1.79e-10,4.458382830798658e-16,8.23854939266274e-16
179,1.8000000000000002e-10,4.564968929457165e-16,8.122470467096304e-16
180,1.8100000000000002e-10,4.407272235885723e-16,7.365551758663085e-16
181,1.8200000000000002e-10,4.402573702800418e-16,7.6511705096111e-16
182,1.8300000000000001e-10,4.4105532640019e-16,7.1773484045409e-16
183,1.84e-10,4.3041592731946627e-16,7.464830166118544e-16
184,1.85e-10,4.57008214897611e-16,7.779984035111434e-16
185,1.86e-10,4.498819184134737e-16,7.711635210837036e-16
186,1.8700000000000003e-10,4.596029578249284e-16,7.436847069483712e-16
187,1.8800000000000002e-10,4.3991820300528196e-16,7.262862820427092e-16
188,1.8900000000000002e-10,4.471113597096093e-16,7.195517765457858e-16
189,1.9000000000000002e-10,4.587583244471508e-16,7.884314974104868e-16
190,1.91e-10,4.270534000356919e-16,7.374029003948091e-16
191,1.92e-10,4.737609643949403e-16,8.298138749497491e-16
192,1.93e-10,4.747770013892925e-16,7.753517634715069e-16
193,1.94e-10,4.769291585172176e-16,7.6086690879638585e-16
194,1.9500000000000002e-10,4.640083470538484e-16,7.768971272931512e-16
