,Time,PET,BUT
0,1e-12,5.487442248792331e-17,7.95620100184078e-17
1,2e-12,7.175517299858884e-17,1.2118668099721123e-16
2,3e-12,7.695378206647023e-17,1.2462320715292283e-16
3,4e-12,6.746293492469124e-17,1.1567553350414162e-16
4,5.0000000000000005e-12,7.998010964539615e-17,1.6868952334001479e-16
5,6e-12,7.978070174023215e-17,1.7581649813857144e-16
6,7.000000000000001e-12,1.0824230420408773e-16,2.253752312987302e-16
7,8e-12,9.528677768816004e-17,2.722200557801455e-16
8,9.000000000000001e-12,1.0065361257273337e-16,2.547179123622208e-16
9,1.0000000000000001e-11,9.319773173110667e-17,2.905024302444537e-16
10,1.1e-11,1.2079377221367073e-16,3.3368813969958436e-16
11,1.2e-11,1.0794538930258059e-16,3.4120534200292847e-16
12,1.3e-11,1.1111562911218314e-16,3.2603869279827823e-16
13,1.4000000000000002e-11,1.0753535864838107e-16,3.0253878204670697e-16
14,1.5e-11,1.3128801427929803e-16,3.3640857748008564e-16
15,1.6e-11,1.19883469455839e-16,3.3586329571857315e-16
16,1.7000000000000003e-11,1.203357842444124e-16,3.0776080058704213e-16
17,1.8000000000000002e-11,1.08668858040844e-16,2.96541123458197e-16
18,1.9000000000000002e-11,1.25992799920693e-16,2.818583635067565e-16
19,2.0000000000000002e-11,1.3112338015715515e-16,3.5666429720935093e-16
20,2.1000000000000002e-11,1.424370704110164e-16,3.7315573627116663e-16
21,2.2e-11,1.5008632914015752e-16,3.438369816052138e-16
22,2.3e-11,1.5478180277617167e-16,3.4708694669879056e-16
23,2.4e-11,1.7774868840357062e-16,3.413225566676197e-16
24,2.5e-11,1.7640331639391873e-16,4.2771611093938946e-16
25,2.6e-11,1.735822304112878e-16,4.048041011461487e-16
26,2.7000000000000004e-11,1.7618898071759846e-16,4.803541634559819e-16
27,2.8000000000000003e-11,1.555619993628922e-16,4.726296027174525e-16
28,2.9000000000000003e-11,1.661226300498165e-16,4.4127464328699187e-16
29,3e-11,1.8672332436666078e-16,4.4118516120555707e-16
30,3.1e-11,1.9102550850391742e-16,4.918340820339325e-16
31,3.2e-11,1.9731965873755223e-16,4.633562110412083e-16
32,3.3e-11,1.8361621075503995e-16,4.050635988029299e-16
33,3.4000000000000005e-11,1.9044128436450123e-16,4.281127816792608e-16
34,3.5e-11,2.0616663750717192e-16,4.943627348868208e-16
35,3.6000000000000005e-11,1.7801130857779432e-16,4.796508538221945e-16
36,3.7e-11,1.678909425409608e-16,5.062740831128613e-16
37,3.8000000000000004e-11,1.786281288342829e-16,5.083451790829683e-16
38,3.9e-11,2.0678732489882848e-16,4.989289156559471e-16
39,4.0000000000000004e-11,2.1219642039215938e-16,4.976415324946412e-16
40,4.1e-11,1.9205834972572404e-16,4.579459315214165e-16
41,4.2000000000000004e-11,2.0685870036909688e-16,5.50289419057016e-16
42,4.3e-11,2.0284366365807536e-16,5.440657491664889e-16
43,4.4e-11,1.991659240310442e-16,5.766369687484184e-16
44,4.5000000000000006e-11,2.01215524390984e-16,5.818551948811233e-16
45,4.6e-11,2.4903137301963444e-16,5.957312824507661e-16
46,4.7000000000000006e-11,2.1577650622508096e-16,6.023850997467496e-16
47,4.8e-11,2.200646928120592e-16,5.826801156371925e-16
48,4.9000000000000005e-11,2.064054687994577e-16,5.5224753633355595e-16
49,5e-11,2.237920726302461e-16,5.572358382479398e-16
50,5.1000000000000005e-11,2.1323705581704102e-16,5.821844089827865e-16
51,5.2e-11,2.273932989369467e-16,5.769233265055643e-16
52,5.3000000000000004e-11,2.321329366061706e-16,5.918394147635175e-16
53,5.400000000000001e-11,2.2649438428774435e-16,5.440178991489526e-16
54,5.5000000000000004e-11,2.2106878942820594e-16,5.466864983160527e-16
55,5.600000000000001e-11,2.36375920851258e-16,5.802353139830221e-16
56,5.7000000000000003e-11,2.3775787338627505e-16,5.415286280327155e-16
57,5.8000000000000007e-11,2.5086181796952017e-16,5.523936812616948e-16
58,5.9e-11,2.4241365997250663e-16,5.426991731205179e-16
59,6e-11,2.4054195129088257e-16,5.747791855119008e-16
