,Time,OCM
0,1e-12,7.173947480635849e-18
1,2e-12,1.2225327901507891e-17
2,3e-12,1.420006151353756e-17
3,4e-12,1.474266808763711e-17
4,5.0000000000000005e-12,1.570256506758422e-17
5,6e-12,1.6567288439886312e-17
6,7.000000000000001e-12,1.6497906064171852e-17
7,8e-12,1.583863986456895e-17
8,9.000000000000001e-12,1.6328375164567994e-17
9,1.0000000000000001e-11,1.8545176232464907e-17
10,1.1e-11,1.8470470659579218e-17
11,1.2e-11,1.8899777574353847e-17
12,1.3e-11,1.8044579699584524e-17
13,1.4000000000000002e-11,1.767888459217006e-17
14,1.5e-11,2.015066267788899e-17
15,1.6e-11,2.063823912523745e-17
16,1.7000000000000003e-11,2.1534289596212772e-17
17,1.8000000000000002e-11,2.1317482200325184e-17
18,1.9000000000000002e-11,2.128557805347508e-17
19,2.0000000000000002e-11,2.124459563371864e-17
20,2.1000000000000002e-11,2.2359153970114693e-17
21,2.2e-11,2.7321637676312382e-17
22,2.3e-11,2.8541118101665895e-17
23,2.4e-11,2.8301639618960535e-17
24,2.5e-11,2.918519400456557e-17
25,2.6e-11,2.860896502973344e-17
26,2.7000000000000004e-11,2.9513223365567043e-17
27,2.8000000000000003e-11,3.432492922055602e-17
28,2.9000000000000003e-11,3.323715389199518e-17
29,3e-11,3.4822479398425793e-17
30,3.1e-11,3.166872644660254e-17
31,3.2e-11,3.4421365598550764e-17
32,3.3e-11,3.7284965281382376e-17
33,3.4000000000000005e-11,3.7232041355157863e-17
34,3.5e-11,3.8149118427897905e-17
35,3.6000000000000005e-11,3.653364251526869e-17
36,3.7e-11,3.943636607809174e-17
37,3.8000000000000004e-11,3.7214265397644754e-17
38,3.9e-11,3.8291391287319984e-17
39,4.0000000000000004e-11,3.967378628950999e-17
40,4.1e-11,3.766498208727372e-17
41,4.2000000000000004e-11,3.720452672800668e-17
42,4.3e-11,3.664425543669589e-17
43,4.4e-11,3.7215403207748624e-17
44,4.5000000000000006e-11,3.777585044040416e-17
45,4.6e-11,3.670032503063712e-17
46,4.7000000000000006e-11,3.6855589408616465e-17
47,4.8e-11,3.845685021447611e-17
48,4.9000000000000005e-11,3.9371615271946483e-17
49,5e-11,3.815907930501458e-17
50,5.1000000000000005e-11,3.638880317406879e-17
51,5.2e-11,3.8611367629346004e-17
52,5.3000000000000004e-11,3.9537643191223273e-17
53,5.400000000000001e-11,3.9555191515095085e-17
54,5.5000000000000004e-11,4.2000590421517536e-17
55,5.600000000000001e-11,4.419251711852748e-17
56,5.7000000000000003e-11,4.3959398852258764e-17
57,5.8000000000000007e-11,4.655692118540702e-17
58,5.9e-11,4.914062153544408e-17
59,6e-11,4.679739085273797e-17
60,6.100000000000001e-11,4.7853445757132124e-17
61,6.2e-11,5.4931151633779674e-17
62,6.3e-11,5.540009240028291e-17
63,6.4e-11,5.567436794638635e-17
64,6.500000000000001e-11,5.302930653084168e-17
65,6.6e-11,5.4245398013543966e-17
66,6.7e-11,5.493542965603177e-17
67,6.800000000000001e-11,5.612945798602428e-17
68,6.900000000000001e-11,5.329449000352523e-17
69,7e-11,5.3592615638585057e-17
70,7.1e-11,5.408616051072478e-17
71,7.200000000000001e-11,5.770810232804208e-17
72,7.3e-11,5.483115932764979e-17
73,7.4e-11,5.6612454084465e-17
74,7.5e-11,5.738511204933236e-17
75,7.600000000000001e-11,5.721282037289314e-17
76,7.7e-11,5.83274426997337e-17
77,7.8e-11,5.857192771078554e-17
78,7.900000000000001e-11,5.865999987730062e-17
79,8.000000000000001e-11,5.738472876089933e-17
80,8.1e-11,5.78439892173761e-17
81,8.2e-11,5.819991700918168e-17
82,8.300000000000001e-11,5.58725908148856e-17
83,8.400000000000001e-11,5.5359832882035963e-17
84,8.5e-11,5.769531188381888e-17
85,8.6e-11,5.595974481274886e-17
86,8.700000000000001e-11,5.584131548724034e-17
87,8.8e-11,5.638689564455206e-17
88,8.9e-11,5.550092167127377e-17
89,9.000000000000001e-11,5.95683682242202e-17
90,9.100000000000001e-11,5.576833217084214e-17
91,9.2e-11,5.715204564497842e-17
92,9.3e-11,5.903576032077544e-17
93,9.400000000000001e-11,5.658796231134835e-17
94,9.500000000000001e-11,5.640803094260923e-17
95,9.6e-11,5.702869637781144e-17
96,9.7e-11,5.62207353938524e-17
97,9.800000000000001e-11,5.862830481921469e-17
98,9.900000000000001e-11,5.712141131401526e-17
99,1e-10,5.554209397101868e-17
100,1.0100000000000001e-10,5.598115785391389e-17
101,1.0200000000000001e-10,5.599827202043776e-17
102,1.03e-10,5.671145543603045e-17
103,1.04e-10,5.772097983539648e-17
104,1.0500000000000001e-10,5.83654981000956e-17
105,1.0600000000000001e-10,6.029789151214497e-17
106,1.07e-10,5.850926239302544e-17
107,1.0800000000000001e-10,5.960482304431529e-17
108,1.0900000000000001e-10,5.846904843666683e-17
109,1.1000000000000001e-10,6.071287439356569e-17
110,1.11e-10,6.062740442726091e-17
111,1.1200000000000001e-10,5.930770785258258e-17
112,1.1300000000000001e-10,5.72072190620063e-17
113,1.1400000000000001e-10,6.072774606373529e-17
114,1.15e-10,6.041150819434863e-17
115,1.1600000000000001e-10,5.889758062462227e-17
116,1.17e-10,5.929434710300233e-17
117,1.18e-10,6.043444374504508e-17
118,1.19e-10,5.938465682059557e-17
119,1.2e-10,6.06733441785697e-17
120,1.2100000000000002e-10,6.219913187348784e-17
121,1.2200000000000002e-10,5.904303597474433e-17
122,1.2300000000000001e-10,6.023606631418747e-17
123,1.24e-10,5.818935841726025e-17
124,1.25e-10,5.706126030170728e-17
125,1.26e-10,5.887321169755513e-17
126,1.27e-10,6.03713219293976e-17
127,1.28e-10,5.903479120192295e-17
128,1.2900000000000002e-10,5.953285505582588e-17
129,1.3000000000000002e-10,6.041425312344989e-17
130,1.31e-10,5.957528872031058e-17
131,1.32e-10,6.046013399151682e-17
132,1.33e-10,5.817014017541161e-17
133,1.34e-10,5.895445836994466e-17
134,1.35e-10,5.964612114813632e-17
135,1.3600000000000002e-10,5.935404624880269e-17
136,1.3700000000000002e-10,5.99473035713591e-17
137,1.3800000000000001e-10,5.991594419353252e-17
138,1.39e-10,6.242379633504323e-17
139,1.4e-10,6.159279373964908e-17
140,1.41e-10,6.290610399725165e-17
141,1.42e-10,6.207262436628826e-17
142,1.4300000000000002e-10,6.07660208431494e-17
143,1.4400000000000002e-10,6.025013000258841e-17
144,1.4500000000000002e-10,6.2590222304602e-17
145,1.46e-10,6.159158513489119e-17
146,1.47e-10,6.07228732777128e-17
147,1.48e-10,6.123354438467199e-17
148,1.49e-10,6.178105494640916e-17
149,1.5e-10,6.133976525761129e-17
150,1.5100000000000002e-10,6.229507727257373e-17
151,1.5200000000000002e-10,6.219831845152528e-17
152,1.5300000000000001e-10,6.188403911164131e-17
153,1.54e-10,6.045336639378944e-17
154,1.55e-10,6.169590229302253e-17
155,1.56e-10,6.037099986175713e-17
156,1.57e-10,6.204999477042536e-17
157,1.5800000000000002e-10,6.192343728485202e-17
158,1.5900000000000002e-10,6.107532529649812e-17
159,1.6000000000000002e-10,6.230081210081496e-17
160,1.61e-10,6.004863188932195e-17
161,1.62e-10,6.14245396953139e-17
162,1.63e-10,5.99559653279843e-17
163,1.64e-10,6.151337982129899e-17
164,1.6500000000000002e-10,6.06010542773711e-17
165,1.6600000000000002e-10,6.046095258513282e-17
166,1.6700000000000002e-10,6.395700708085924e-17
167,1.6800000000000001e-10,6.14313696471768e-17
168,1.69e-10,6.133157311959883e-17
169,1.7e-10,6.241628001899877e-17
170,1.71e-10,6.349325452173263e-17
171,1.72e-10,6.429875551760547e-17
172,1.7300000000000002e-10,6.288215853151897e-17
173,1.7400000000000002e-10,6.113677090221398e-17
