,Time,OCM,BUT
0,1e-12,1.0605080764540634e-17,1.0681176731868582e-17
1,2e-12,1.3044508856768258e-17,1.699854781245183e-17
2,3e-12,1.3265182581510841e-17,1.9382457579243566e-17
3,4e-12,1.2344054334170956e-17,1.9801901860540025e-17
4,5.0000000000000005e-12,1.41097278520444e-17,2.185689139900551e-17
5,6e-12,1.6730473490593954e-17,2.6377221906131925e-17
6,7.000000000000001e-12,2.5624529978490045e-17,2.6956449818540822e-17
7,8e-12,2.4231312926556405e-17,2.706739569579627e-17
8,9.000000000000001e-12,3.1374391812301714e-17,3.6095466919325305e-17
9,1.0000000000000001e-11,3.258932095486996e-17,3.814453099170692e-17
10,1.1e-11,3.390633160608367e-17,3.85814213237822e-17
11,1.2e-11,3.6398917666705385e-17,4.037632535927099e-17
12,1.3e-11,3.8317034557628945e-17,3.882930464643831e-17
13,1.4000000000000002e-11,4.2447490167514114e-17,4.453205697819482e-17
14,1.5e-11,3.966412326625831e-17,4.270485755707359e-17
15,1.6e-11,4.0765181011914235e-17,4.702769834252119e-17
16,1.7000000000000003e-11,3.830393193092872e-17,4.1619026060778784e-17
17,1.8000000000000002e-11,4.1047779743370434e-17,4.903696071199722e-17
18,1.9000000000000002e-11,4.0729783248444646e-17,4.797607694697276e-17
19,2.0000000000000002e-11,4.094275169743785e-17,4.8706311109106415e-17
20,2.1000000000000002e-11,4.206024346270419e-17,5.012226958318433e-17
21,2.2e-11,4.764996228982774e-17,5.389194911471556e-17
22,2.3e-11,4.916038202188844e-17,5.4210263981368817e-17
23,2.4e-11,5.003766646061388e-17,5.844284839202005e-17
24,2.5e-11,4.836617084763461e-17,5.773098618320026e-17
25,2.6e-11,4.69889370293755e-17,5.018232176807642e-17
26,2.7000000000000004e-11,4.92383162973864e-17,5.802546949068013e-17
27,2.8000000000000003e-11,4.826190802428307e-17,5.325984824469635e-17
28,2.9000000000000003e-11,4.6911677834498576e-17,4.9256326703932166e-17
29,3e-11,4.936464738076795e-17,4.90568489089902e-17
30,3.1e-11,4.72524825636257e-17,5.4045565561355696e-17
31,3.2e-11,4.9026557097549916e-17,5.840854534237963e-17
32,3.3e-11,5.500873132794291e-17,6.034906401822838e-17
33,3.4000000000000005e-11,5.054455707881502e-17,6.5209059152266e-17
34,3.5e-11,5.2199000809177886e-17,6.894352732519764e-17
35,3.6000000000000005e-11,5.364656895359017e-17,7.448185364004795e-17
36,3.7e-11,5.715850585628607e-17,8.031733980604567e-17
37,3.8000000000000004e-11,5.743097012732923e-17,8.979153086873808e-17
38,3.9e-11,5.656262344493036e-17,7.716016595838507e-17
39,4.0000000000000004e-11,5.840811851239193e-17,7.614385616847036e-17
40,4.1e-11,5.702733818771169e-17,8.056671530608976e-17
41,4.2000000000000004e-11,5.935175108263579e-17,8.564762203946413e-17
42,4.3e-11,6.061552382385896e-17,9.456107428882007e-17
43,4.4e-11,6.436416120466939e-17,9.640843411038304e-17
44,4.5000000000000006e-11,6.527280543140596e-17,1.04617069152172e-16
45,4.6e-11,6.569268578870107e-17,9.599356891463322e-17
46,4.7000000000000006e-11,6.231357812837972e-17,9.8462395737439e-17
47,4.8e-11,6.925752392987798e-17,1.0487794722041953e-16
48,4.9000000000000005e-11,6.71488720676814e-17,9.479799448956792e-17
49,5e-11,7.166346049076142e-17,1.0332300635697079e-16
50,5.1000000000000005e-11,7.268679497298753e-17,1.0782897963831491e-16
51,5.2e-11,7.516712999844939e-17,1.1271119887856948e-16
52,5.3000000000000004e-11,7.759848208389365e-17,1.1175495235629445e-16
53,5.400000000000001e-11,7.197544974342367e-17,1.1038966376247119e-16
54,5.5000000000000004e-11,7.503389402919398e-17,1.1652685870336214e-16
55,5.600000000000001e-11,8.390504101916909e-17,1.2595055257513903e-16
56,5.7000000000000003e-11,9.355429804289515e-17,1.4515547493728605e-16
57,5.8000000000000007e-11,9.698638805483285e-17,1.4992236651073393e-16
58,5.9e-11,9.596770341158888e-17,1.4424568093559812e-16
59,6e-11,1.1090240358078288e-16,1.7331073711989833e-16
