,Time,OCM,BUT
0,1e-12,1.1211085348112329e-17,1.4577774967852385e-17
1,2e-12,1.4193337483837084e-17,1.779661834111041e-17
2,3e-12,1.6690132552801012e-17,1.886873248773484e-17
3,4e-12,1.9466116687539746e-17,2.6577155514491708e-17
4,5.0000000000000005e-12,1.900174182959942e-17,3.251017453788212e-17
5,6e-12,2.1472267779382888e-17,3.584625475985671e-17
6,7.000000000000001e-12,2.564488405074885e-17,5.1088513125303506e-17
7,8e-12,2.857313878330432e-17,4.9709488225443136e-17
8,9.000000000000001e-12,2.8861652794166503e-17,4.999504419226319e-17
9,1.0000000000000001e-11,2.650527307002285e-17,5.122524106904244e-17
10,1.1e-11,2.6888079646036844e-17,5.2921064868567494e-17
11,1.2e-11,3.0578554891433977e-17,5.567100588720152e-17
12,1.3e-11,2.61250458880932e-17,4.940726723379776e-17
13,1.4000000000000002e-11,2.952197974938638e-17,4.914845717234404e-17
14,1.5e-11,4.028416517934741e-17,5.87112632416815e-17
15,1.6e-11,3.81502148621376e-17,5.1183703414391065e-17
16,1.7000000000000003e-11,4.0004346618275495e-17,5.027969801179781e-17
17,1.8000000000000002e-11,4.108425118326315e-17,4.824898615860574e-17
18,1.9000000000000002e-11,4.433048388260085e-17,5.1884457516637646e-17
19,2.0000000000000002e-11,4.115703033483318e-17,5.1966623871229914e-17
20,2.1000000000000002e-11,4.681910485989422e-17,5.1986106103889876e-17
21,2.2e-11,4.78857514818064e-17,4.983249998281826e-17
22,2.3e-11,5.103183998617973e-17,5.760018953072191e-17
23,2.4e-11,5.1036786662541527e-17,5.986733219033132e-17
24,2.5e-11,5.007100324391573e-17,5.254198177059746e-17
25,2.6e-11,5.293088113253834e-17,5.483510946067536e-17
26,2.7000000000000004e-11,5.278753130136833e-17,5.745646615479177e-17
27,2.8000000000000003e-11,5.1245460784068876e-17,5.752777429559353e-17
28,2.9000000000000003e-11,5.112481278235179e-17,5.728083960113863e-17
29,3e-11,5.3039429300277104e-17,6.019821021489987e-17
30,3.1e-11,5.805399961131324e-17,6.222370348501356e-17
31,3.2e-11,5.793797246797826e-17,6.748901871994275e-17
32,3.3e-11,6.134107932275804e-17,6.792108586369863e-17
33,3.4000000000000005e-11,6.161212531523099e-17,6.721273544516183e-17
34,3.5e-11,6.089279600867675e-17,6.74434671637793e-17
35,3.6000000000000005e-11,6.130844330784196e-17,6.776701370021252e-17
36,3.7e-11,6.187058937571112e-17,6.900356260983204e-17
37,3.8000000000000004e-11,6.201545624765505e-17,6.546854760022905e-17
38,3.9e-11,5.77755919754531e-17,7.217260104607603e-17
39,4.0000000000000004e-11,5.956232541358905e-17,7.474557549636423e-17
40,4.1e-11,6.175648207724483e-17,7.613310052109964e-17
41,4.2000000000000004e-11,5.448034300919978e-17,7.468869787006032e-17
