,Time,PET,BUT
0,1e-12,5.105363065732411e-17,5.950107311413689e-17
1,2e-12,4.9761094161239064e-17,8.23323375557756e-17
2,3e-12,5.592459699790601e-17,7.452084555604225e-17
3,4e-12,5.764230683060339e-17,1.1209798529434923e-16
4,5.0000000000000005e-12,7.359175031028204e-17,1.3427328882770015e-16
5,6e-12,8.880272120338892e-17,1.806622003182662e-16
6,7.000000000000001e-12,9.472910958520503e-17,1.5704674277965893e-16
7,8e-12,1.0883461057942506e-16,1.57282147057604e-16
8,9.000000000000001e-12,1.2618350388451505e-16,1.933678536564656e-16
9,1.0000000000000001e-11,1.1784635589039245e-16,1.7478365642676789e-16
10,1.1e-11,1.213888738571128e-16,2.0045402438648599e-16
11,1.2e-11,1.2638668254187678e-16,2.341988446781903e-16
12,1.3e-11,1.255481200094008e-16,2.37202585553874e-16
13,1.4000000000000002e-11,1.3374083183797422e-16,2.858533215462665e-16
14,1.5e-11,1.3443644114619944e-16,2.8707336759238166e-16
15,1.6e-11,1.355101412530712e-16,2.730739016950889e-16
16,1.7000000000000003e-11,1.4536982263055307e-16,2.8104770820746956e-16
17,1.8000000000000002e-11,1.4404150822268343e-16,2.6453096504622504e-16
18,1.9000000000000002e-11,1.3807454697161484e-16,2.644903184473297e-16
19,2.0000000000000002e-11,1.4284057477554303e-16,2.423879438439143e-16
20,2.1000000000000002e-11,1.4263124704166495e-16,3.287406175705847e-16
21,2.2e-11,1.531380166288028e-16,3.6153071161253474e-16
22,2.3e-11,1.4848160719881175e-16,3.375536886350146e-16
23,2.4e-11,1.6154441900880429e-16,3.364814582579747e-16
24,2.5e-11,1.6983334716933042e-16,4.1415583350780503e-16
25,2.6e-11,1.6174386965404839e-16,4.252079168798311e-16
26,2.7000000000000004e-11,1.6338259500644364e-16,4.151823563729482e-16
27,2.8000000000000003e-11,1.734490446015352e-16,4.1019015787136094e-16
28,2.9000000000000003e-11,1.881113332366107e-16,4.3869354123446446e-16
29,3e-11,2.0241929342519443e-16,4.1972790271878993e-16
30,3.1e-11,2.1903610455136977e-16,4.514446993946585e-16
31,3.2e-11,2.150220215758108e-16,4.554584170606349e-16
32,3.3e-11,2.1678319977934886e-16,4.151243641917459e-16
33,3.4000000000000005e-11,2.1674178967646457e-16,4.2567893771256497e-16
34,3.5e-11,2.283915339444273e-16,4.710957940905914e-16
35,3.6000000000000005e-11,2.29525499159104e-16,4.711728300418591e-16
36,3.7e-11,2.383910357414774e-16,4.963310110138874e-16
37,3.8000000000000004e-11,2.355112669519583e-16,5.367020438389657e-16
38,3.9e-11,2.4365653209392806e-16,5.3663543462083e-16
39,4.0000000000000004e-11,2.4004348686538774e-16,5.281828986824989e-16
