,Time,PET
0,1e-12,4.852709904319769e-17
1,2e-12,6.238942867319014e-17
2,3e-12,7.165814010332716e-17
3,4e-12,8.798266930337938e-17
4,5.0000000000000005e-12,1.0202480016643401e-16
5,6e-12,1.1061299697153497e-16
6,7.000000000000001e-12,1.3201880045759456e-16
7,8e-12,1.2982791365712823e-16
8,9.000000000000001e-12,1.3652111555033774e-16
9,1.0000000000000001e-11,1.3995350733595753e-16
10,1.1e-11,1.4592760127925266e-16
11,1.2e-11,1.5506542243786121e-16
12,1.3e-11,1.656338458304338e-16
13,1.4000000000000002e-11,1.8178358143569898e-16
14,1.5e-11,1.7421405073415516e-16
15,1.6e-11,1.8355415371389656e-16
16,1.7000000000000003e-11,1.8072915447422459e-16
17,1.8000000000000002e-11,2.0462828889649196e-16
18,1.9000000000000002e-11,2.1405140559825004e-16
19,2.0000000000000002e-11,2.1631635456630994e-16
20,2.1000000000000002e-11,2.0571122913609625e-16
21,2.2e-11,2.1853880684163302e-16
22,2.3e-11,2.2750280325410467e-16
23,2.4e-11,2.2435026220008375e-16
24,2.5e-11,2.38446163187138e-16
25,2.6e-11,2.297022875115743e-16
26,2.7000000000000004e-11,2.5537741773120807e-16
27,2.8000000000000003e-11,2.629213802486088e-16
28,2.9000000000000003e-11,2.8272432937093943e-16
29,3e-11,2.730162693722632e-16
30,3.1e-11,2.8247257061097343e-16
31,3.2e-11,2.961842838320752e-16
32,3.3e-11,2.939911795783447e-16
33,3.4000000000000005e-11,3.0329359558136844e-16
34,3.5e-11,2.9747890553844204e-16
35,3.6000000000000005e-11,2.789594552803288e-16
36,3.7e-11,2.9129728879724445e-16
37,3.8000000000000004e-11,3.038974192603136e-16
38,3.9e-11,3.110672185529428e-16
39,4.0000000000000004e-11,2.976450083745491e-16
40,4.1e-11,3.000624128837145e-16
41,4.2000000000000004e-11,3.1124657290578014e-16
42,4.3e-11,2.916289046215939e-16
43,4.4e-11,3.0577271623669817e-16
44,4.5000000000000006e-11,3.178085471624673e-16
45,4.6e-11,3.1218523053848826e-16
46,4.7000000000000006e-11,3.0988859292098824e-16
47,4.8e-11,3.042229229235063e-16
48,4.9000000000000005e-11,3.2551790794669347e-16
49,5e-11,3.3173980522480744e-16
50,5.1000000000000005e-11,3.352656727090151e-16
51,5.2e-11,3.236559049414048e-16
52,5.3000000000000004e-11,3.430523724336171e-16
53,5.400000000000001e-11,3.472756922894433e-16
54,5.5000000000000004e-11,3.8008767992349657e-16
55,5.600000000000001e-11,3.656101186732531e-16
