,Time,PET
0,1e-12,4.9396002262436126e-17
1,2e-12,6.706656240144761e-17
2,3e-12,6.078183417927098e-17
3,4e-12,7.736646822885535e-17
4,5.0000000000000005e-12,8.421700763896727e-17
5,6e-12,9.394779672842113e-17
6,7.000000000000001e-12,9.787048475507141e-17
7,8e-12,9.82959190602816e-17
8,9.000000000000001e-12,1.134021463610857e-16
9,1.0000000000000001e-11,1.1740570471549976e-16
10,1.1e-11,1.203975314599757e-16
11,1.2e-11,1.2453560847888187e-16
12,1.3e-11,1.4093985160826262e-16
13,1.4000000000000002e-11,1.473924400028755e-16
14,1.5e-11,1.4844041610261096e-16
15,1.6e-11,1.436140169680239e-16
16,1.7000000000000003e-11,1.6539119704740715e-16
17,1.8000000000000002e-11,1.60557296993237e-16
18,1.9000000000000002e-11,1.5345461596071991e-16
19,2.0000000000000002e-11,1.5094799828118862e-16
20,2.1000000000000002e-11,1.6066860540176884e-16
21,2.2e-11,1.5558034313711712e-16
22,2.3e-11,1.612968776118531e-16
23,2.4e-11,1.5578746375136998e-16
24,2.5e-11,1.667730637667946e-16
25,2.6e-11,1.7097190547049417e-16
26,2.7000000000000004e-11,1.6714686918101939e-16
27,2.8000000000000003e-11,1.7543563492596113e-16
28,2.9000000000000003e-11,1.8300567813262987e-16
29,3e-11,1.8669403149888855e-16
30,3.1e-11,1.8207644668586206e-16
31,3.2e-11,1.9457565003373474e-16
32,3.3e-11,2.0075559830875638e-16
33,3.4000000000000005e-11,1.8166389760351587e-16
34,3.5e-11,1.8750279067035455e-16
35,3.6000000000000005e-11,1.8380257384506906e-16
36,3.7e-11,1.9170905039403142e-16
37,3.8000000000000004e-11,1.9263724464828034e-16
38,3.9e-11,1.972702667272954e-16
39,4.0000000000000004e-11,1.9494962615445264e-16
40,4.1e-11,1.9120763273591523e-16
41,4.2000000000000004e-11,2.0791597696285615e-16
42,4.3e-11,2.0077663822526456e-16
43,4.4e-11,1.989237401027876e-16
44,4.5000000000000006e-11,2.0493767374822566e-16
45,4.6e-11,2.1654704084055982e-16
46,4.7000000000000006e-11,2.122375834580978e-16
47,4.8e-11,1.947421694705371e-16
48,4.9000000000000005e-11,2.143722204715842e-16
49,5e-11,2.204447049381464e-16
50,5.1000000000000005e-11,2.1365448055548046e-16
51,5.2e-11,2.252327784717034e-16
52,5.3000000000000004e-11,2.1479086545789587e-16
53,5.400000000000001e-11,2.2970678656412947e-16
54,5.5000000000000004e-11,2.3603609403212634e-16
55,5.600000000000001e-11,2.5148134246646153e-16
56,5.7000000000000003e-11,2.5023090558608496e-16
57,5.8000000000000007e-11,2.3942617267307295e-16
58,5.9e-11,2.330863423891569e-16
59,6e-11,2.357714402866032e-16
60,6.100000000000001e-11,2.216437991543309e-16
61,6.2e-11,2.3711284065245867e-16
62,6.3e-11,2.5421140710269586e-16
63,6.4e-11,2.580114061507722e-16
64,6.500000000000001e-11,2.6767885130232677e-16
65,6.6e-11,2.817715781504327e-16
66,6.7e-11,2.6635290363776343e-16
67,6.800000000000001e-11,2.797465218607933e-16
68,6.900000000000001e-11,2.7289155155748363e-16
69,7e-11,2.659166567764787e-16
70,7.1e-11,2.6093297655258415e-16
71,7.200000000000001e-11,2.724789894192879e-16
72,7.3e-11,2.957977907066202e-16
73,7.4e-11,2.9483743298326964e-16
74,7.5e-11,2.794741313946282e-16
75,7.600000000000001e-11,3.0023797450230794e-16
76,7.7e-11,2.8306642776275003e-16
77,7.8e-11,3.097638475084455e-16
78,7.900000000000001e-11,3.132090558195325e-16
79,8.000000000000001e-11,3.0570175777595833e-16
80,8.1e-11,3.27624164868154e-16
81,8.2e-11,3.124000619005109e-16
82,8.300000000000001e-11,3.2000801687163636e-16
83,8.400000000000001e-11,3.2473527100308796e-16
84,8.5e-11,3.296507029250029e-16
85,8.6e-11,3.0983488428004344e-16
86,8.700000000000001e-11,3.048235306738957e-16
87,8.8e-11,3.0280452579399105e-16
88,8.9e-11,3.273605849926494e-16
89,9.000000000000001e-11,3.3792949879345297e-16
90,9.100000000000001e-11,3.122546700234758e-16
91,9.2e-11,3.052152325288785e-16
92,9.3e-11,3.2600276665841816e-16
93,9.400000000000001e-11,3.196490231969936e-16
94,9.500000000000001e-11,3.1040473762780327e-16
95,9.6e-11,3.394870472853893e-16
96,9.7e-11,3.270867638343219e-16
97,9.800000000000001e-11,3.1031935198754506e-16
98,9.900000000000001e-11,3.030054935066259e-16
99,1e-10,3.3601607112830356e-16
100,1.0100000000000001e-10,3.253048907316421e-16
101,1.0200000000000001e-10,3.1663633385181e-16
102,1.03e-10,3.0616647496212116e-16
103,1.04e-10,3.1699943131810554e-16
104,1.0500000000000001e-10,3.3704648844595705e-16
105,1.0600000000000001e-10,3.340614388092197e-16
106,1.07e-10,3.224763507500989e-16
107,1.0800000000000001e-10,3.377752095909713e-16
108,1.0900000000000001e-10,3.3846860326868195e-16
109,1.1000000000000001e-10,3.270295261270927e-16
110,1.11e-10,3.311096156324385e-16
111,1.1200000000000001e-10,3.5041059806712423e-16
112,1.1300000000000001e-10,3.5144997750001477e-16
113,1.1400000000000001e-10,3.446667212103632e-16
114,1.15e-10,3.5301055491183196e-16
115,1.1600000000000001e-10,3.726462824351454e-16
116,1.17e-10,3.741367746285857e-16
117,1.18e-10,3.781405288128596e-16
118,1.19e-10,3.530453347753526e-16
119,1.2e-10,3.4330586125947156e-16
120,1.2100000000000002e-10,3.6334397273503423e-16
121,1.2200000000000002e-10,3.5969501033658843e-16
122,1.2300000000000001e-10,3.6622273697373577e-16
123,1.24e-10,3.863885324383934e-16
124,1.25e-10,3.739600255596963e-16
125,1.26e-10,3.789194349085491e-16
126,1.27e-10,3.6498888234115634e-16
127,1.28e-10,3.6998716895239054e-16
128,1.2900000000000002e-10,3.7556165506905534e-16
129,1.3000000000000002e-10,3.791407441761626e-16
130,1.31e-10,3.7751070820583287e-16
131,1.32e-10,3.838096536084963e-16
132,1.33e-10,3.820852399690304e-16
133,1.34e-10,3.7969918799216276e-16
134,1.35e-10,3.6051758664212484e-16
135,1.3600000000000002e-10,3.6535317981569333e-16
136,1.3700000000000002e-10,3.5478999060799753e-16
137,1.3800000000000001e-10,3.6863045479904922e-16
138,1.39e-10,3.835340087593493e-16
139,1.4e-10,3.62491281816312e-16
140,1.41e-10,3.6030315786431843e-16
141,1.42e-10,3.6864234872923376e-16
142,1.4300000000000002e-10,3.7108546012146225e-16
143,1.4400000000000002e-10,3.633202291040878e-16
144,1.4500000000000002e-10,3.731701145580075e-16
145,1.46e-10,3.712837397849498e-16
146,1.47e-10,3.6471296967932397e-16
147,1.48e-10,3.769107288726833e-16
148,1.49e-10,3.8157740710248796e-16
149,1.5e-10,3.756187903649353e-16
150,1.5100000000000002e-10,3.960567373763882e-16
151,1.5200000000000002e-10,3.811618389535555e-16
152,1.5300000000000001e-10,3.933565837157264e-16
153,1.54e-10,3.7139504729475963e-16
154,1.55e-10,3.5328709648066658e-16
155,1.56e-10,3.6291821948933145e-16
156,1.57e-10,3.6270625065087663e-16
157,1.5800000000000002e-10,3.6775613385030533e-16
158,1.5900000000000002e-10,3.717852848319448e-16
159,1.6000000000000002e-10,3.6916833426806867e-16
160,1.61e-10,3.7300010800692017e-16
161,1.62e-10,3.5846658838029216e-16
162,1.63e-10,3.812112224502805e-16
163,1.64e-10,3.8055879925578594e-16
164,1.6500000000000002e-10,3.9201804113339597e-16
165,1.6600000000000002e-10,4.0966084518796004e-16
166,1.6700000000000002e-10,3.649386309205335e-16
167,1.6800000000000001e-10,3.964731394261852e-16
168,1.69e-10,3.822099958346474e-16
169,1.7e-10,3.9473646418032986e-16
170,1.71e-10,3.911592133249337e-16
171,1.72e-10,3.8368558076340583e-16
172,1.7300000000000002e-10,3.9276174324438446e-16
173,1.7400000000000002e-10,3.876257289415475e-16
174,1.7500000000000002e-10,3.897331112895979e-16
175,1.76e-10,4.007867496316954e-16
176,1.77e-10,3.645901635522643e-16
177,1.78e-10,3.7301108439167817e-16
178,1.79e-10,3.9472034658059846e-16
179,1.8000000000000002e-10,3.88962105805709e-16
180,1.8100000000000002e-10,3.76238158987901e-16
181,1.8200000000000002e-10,3.804760970629587e-16
182,1.8300000000000001e-10,3.748928831011809e-16
183,1.84e-10,3.813783011234711e-16
184,1.85e-10,3.633412683682396e-16
185,1.86e-10,3.814304375655459e-16
186,1.8700000000000003e-10,3.855739788740382e-16
187,1.8800000000000002e-10,3.9591631963138064e-16
188,1.8900000000000002e-10,4.0194868077651074e-16
189,1.9000000000000002e-10,4.0190392934481026e-16
190,1.91e-10,3.938243958481088e-16
191,1.92e-10,3.8149318451328587e-16
192,1.93e-10,3.947442791205403e-16
193,1.94e-10,3.8493796877855126e-16
194,1.9500000000000002e-10,3.982784471130802e-16
195,1.9600000000000002e-10,3.9688897366217874e-16
196,1.9700000000000002e-10,3.9957860919300366e-16
197,1.9800000000000001e-10,4.097733571335602e-16
198,1.99e-10,4.153653243320807e-16
199,2e-10,4.161605691778515e-16
200,2.01e-10,4.251458159638966e-16
201,2.0200000000000003e-10,4.187336369843946e-16
202,2.0300000000000002e-10,4.0371871692433873e-16
203,2.0400000000000002e-10,4.2032632676206696e-16
204,2.0500000000000002e-10,4.2880947509413783e-16
205,2.06e-10,4.272221788973112e-16
206,2.07e-10,4.323526359177638e-16
207,2.08e-10,4.0303881544150174e-16
208,2.0900000000000003e-10,4.107145543090355e-16
209,2.1000000000000002e-10,4.1622277861511507e-16
210,2.1100000000000002e-10,4.4064706889910625e-16
211,2.1200000000000002e-10,4.469571884694433e-16
212,2.1300000000000001e-10,4.3571924131069653e-16
213,2.14e-10,4.2997248531684525e-16
214,2.15e-10,4.2874125611984585e-16
215,2.1600000000000003e-10,4.339419327059299e-16
216,2.1700000000000003e-10,4.2896348607075334e-16
217,2.1800000000000002e-10,4.311992552662144e-16
218,2.1900000000000002e-10,4.3392192171362347e-16
219,2.2000000000000002e-10,4.352976558839309e-16
220,2.21e-10,4.245790305665719e-16
221,2.22e-10,4.27687640549408e-16
222,2.23e-10,4.14136135480294e-16
223,2.2400000000000003e-10,4.3808294773648287e-16
224,2.2500000000000002e-10,4.284991116593943e-16
225,2.2600000000000002e-10,4.331444927001167e-16
226,2.2700000000000002e-10,4.382337588301142e-16
227,2.2800000000000001e-10,4.3523081803875756e-16
228,2.29e-10,4.223519610548524e-16
229,2.3e-10,4.093919065075033e-16
230,2.3100000000000003e-10,4.2330108909808566e-16
231,2.3200000000000003e-10,4.418723784125153e-16
232,2.33e-10,4.1348116464993874e-16
233,2.34e-10,4.4071219522524574e-16
234,2.35e-10,4.3494954463406486e-16
235,2.36e-10,4.183412880297004e-16
236,2.37e-10,4.217394823192283e-16
237,2.38e-10,4.533986172123153e-16
238,2.39e-10,4.431807375122024e-16
239,2.4e-10,4.23928281045088e-16
240,2.41e-10,4.606013532878657e-16
241,2.4200000000000004e-10,4.490680289674704e-16
242,2.4300000000000004e-10,4.4082879345260607e-16
243,2.4400000000000004e-10,4.2737753550444263e-16
244,2.4500000000000003e-10,4.442904359676853e-16
245,2.4600000000000003e-10,4.471250442222149e-16
246,2.4700000000000003e-10,4.352306329217437e-16
247,2.48e-10,4.478343620852495e-16
248,2.49e-10,4.327073037740208e-16
249,2.5e-10,4.465168360337025e-16
250,2.51e-10,4.523794313825295e-16
251,2.52e-10,4.3700245338510007e-16
252,2.53e-10,4.474997672793904e-16
253,2.54e-10,4.3669956664874193e-16
254,2.55e-10,4.535066522991221e-16
255,2.56e-10,4.371012784077962e-16
256,2.5700000000000004e-10,4.544062524876778e-16
257,2.5800000000000004e-10,4.52765709042673e-16
258,2.5900000000000004e-10,4.584673795602616e-16
259,2.6000000000000003e-10,4.546290226689495e-16
260,2.6100000000000003e-10,4.528341187503414e-16
261,2.62e-10,4.691943887358326e-16
262,2.63e-10,4.592905388975196e-16
263,2.64e-10,4.598960618848305e-16
264,2.65e-10,4.740381888193943e-16
265,2.66e-10,4.4398937475495955e-16
266,2.67e-10,4.42292557511818e-16
267,2.68e-10,4.702826531588499e-16
268,2.69e-10,4.882108275900033e-16
269,2.7e-10,4.658156127824046e-16
270,2.7100000000000005e-10,4.983325405053955e-16
271,2.7200000000000004e-10,4.752613031701535e-16
272,2.7300000000000004e-10,4.812549435338813e-16
273,2.7400000000000004e-10,4.868521615161207e-16
274,2.7500000000000003e-10,4.666821124382164e-16
275,2.7600000000000003e-10,4.67736034407783e-16
276,2.77e-10,4.700862080657185e-16
277,2.78e-10,4.757660932314531e-16
278,2.79e-10,4.830821308124648e-16
279,2.8e-10,4.913235810689579e-16
280,2.81e-10,5.055312547274527e-16
281,2.82e-10,4.850861227100124e-16
282,2.83e-10,5.000751343023316e-16
283,2.84e-10,4.841224160684107e-16
284,2.85e-10,4.908304948348134e-16
285,2.8600000000000005e-10,4.858931171730374e-16
286,2.8700000000000004e-10,4.841065954632435e-16
287,2.8800000000000004e-10,4.959705658410151e-16
288,2.8900000000000004e-10,4.959428570141556e-16
289,2.9000000000000003e-10,4.985691766198585e-16
290,2.9100000000000003e-10,4.967043583409036e-16
291,2.92e-10,4.839260547023164e-16
292,2.93e-10,5.228624851885162e-16
293,2.94e-10,4.797148408191314e-16
294,2.95e-10,5.061146397458355e-16
295,2.96e-10,5.294872679106519e-16
296,2.97e-10,5.202673173638619e-16
297,2.98e-10,5.167848262285742e-16
298,2.99e-10,4.892456071671544e-16
299,3e-10,5.075243010633469e-16
300,3.0100000000000005e-10,4.972413903594784e-16
301,3.0200000000000004e-10,4.82481087468625e-16
302,3.0300000000000004e-10,4.957983766742539e-16
303,3.0400000000000004e-10,5.130224431519553e-16
304,3.0500000000000003e-10,5.026782270880486e-16
305,3.0600000000000003e-10,5.133411678876021e-16
306,3.07e-10,5.110127566340893e-16
307,3.08e-10,5.065465980754542e-16
308,3.09e-10,5.003062396715617e-16
309,3.1e-10,4.985540454415779e-16
310,3.11e-10,4.957830132730607e-16
311,3.12e-10,5.133598854521754e-16
312,3.13e-10,4.844939176401409e-16
313,3.14e-10,5.127021179865256e-16
314,3.1500000000000005e-10,4.920977329661599e-16
315,3.1600000000000005e-10,5.087527025410834e-16
316,3.1700000000000004e-10,5.177632194250516e-16
317,3.1800000000000004e-10,5.067842024136778e-16
318,3.1900000000000004e-10,5.093561299027888e-16
319,3.2000000000000003e-10,4.733941054228019e-16
320,3.2100000000000003e-10,4.877862700276982e-16
321,3.22e-10,4.969816254566346e-16
322,3.23e-10,5.001172480490568e-16
323,3.24e-10,4.838868761487872e-16
324,3.25e-10,4.957771261035423e-16
325,3.26e-10,4.931224828442309e-16
326,3.27e-10,5.005068010092264e-16
327,3.28e-10,5.025494980644327e-16
328,3.29e-10,4.68911915370682e-16
329,3.3000000000000005e-10,4.967260335160208e-16
330,3.3100000000000005e-10,4.955990300609112e-16
331,3.3200000000000004e-10,5.036243394050899e-16
332,3.3300000000000004e-10,4.943540192106366e-16
333,3.3400000000000004e-10,5.055282235361867e-16
334,3.3500000000000003e-10,4.825100732071415e-16
335,3.3600000000000003e-10,5.172241212613731e-16
336,3.37e-10,4.88595214722695e-16
337,3.38e-10,5.048534444556137e-16
338,3.39e-10,4.954706216222112e-16
339,3.4e-10,4.915158511247855e-16
340,3.41e-10,5.054766105940645e-16
341,3.42e-10,4.935887003186899e-16
342,3.43e-10,4.998960442001165e-16
343,3.44e-10,5.041297725852232e-16
344,3.4500000000000005e-10,5.0350129833247245e-16
345,3.4600000000000005e-10,4.838146372333821e-16
346,3.4700000000000004e-10,5.189008248199366e-16
347,3.4800000000000004e-10,5.033122274845982e-16
348,3.4900000000000004e-10,4.921010765969572e-16
349,3.5000000000000003e-10,4.941204719830676e-16
350,3.5100000000000003e-10,5.0937258768246e-16
351,3.52e-10,4.828178565456713e-16
352,3.53e-10,5.163163432136474e-16
353,3.54e-10,4.981379517230656e-16
354,3.55e-10,5.101215859145016e-16
355,3.56e-10,4.931208460769526e-16
356,3.57e-10,4.921387194858498e-16
357,3.58e-10,4.888148325951413e-16
358,3.5900000000000005e-10,4.966183338862418e-16
359,3.6000000000000005e-10,5.052308167933485e-16
360,3.6100000000000005e-10,5.003149760631622e-16
361,3.6200000000000004e-10,5.00608886723257e-16
362,3.6300000000000004e-10,5.158790298560137e-16
363,3.6400000000000004e-10,5.056323879258552e-16
364,3.6500000000000003e-10,4.922897497860114e-16
365,3.6600000000000003e-10,4.991757471596246e-16
366,3.67e-10,5.051740270893897e-16
367,3.68e-10,5.054949824877816e-16
368,3.69e-10,5.006970719822138e-16
369,3.7e-10,4.85346522746823e-16
370,3.71e-10,4.926872738660159e-16
371,3.72e-10,5.217117803561493e-16
372,3.73e-10,4.853900685393941e-16
373,3.7400000000000005e-10,5.12319631950192e-16
374,3.7500000000000005e-10,5.135898117020164e-16
375,3.7600000000000005e-10,4.940965108478887e-16
376,3.7700000000000004e-10,4.973646315884387e-16
377,3.7800000000000004e-10,5.075562852299634e-16
378,3.7900000000000004e-10,4.839188989726385e-16
379,3.8000000000000003e-10,4.892360295133785e-16
380,3.8100000000000003e-10,5.014106314578028e-16
381,3.82e-10,5.087869351474353e-16
382,3.83e-10,5.084216163504054e-16
383,3.84e-10,5.166786176777219e-16
384,3.85e-10,5.249173127416523e-16
385,3.86e-10,5.217890577238978e-16
386,3.87e-10,5.471931403202097e-16
387,3.88e-10,5.308443713148748e-16
388,3.8900000000000005e-10,5.211518988834817e-16
389,3.9000000000000005e-10,5.185014366722149e-16
390,3.9100000000000005e-10,5.239742731595102e-16
391,3.9200000000000004e-10,5.405888104811336e-16
392,3.9300000000000004e-10,5.141544102805845e-16
393,3.9400000000000004e-10,5.2416226799358505e-16
394,3.9500000000000003e-10,5.239936074596984e-16
395,3.9600000000000003e-10,5.377504817166419e-16
396,3.97e-10,5.283270182389814e-16
397,3.98e-10,5.464303280946372e-16
398,3.99e-10,5.080576758167988e-16
399,4e-10,5.403782855930374e-16
400,4.01e-10,5.372387699978793e-16
401,4.02e-10,5.21254595409163e-16
402,4.0300000000000006e-10,5.306752719411082e-16
403,4.0400000000000005e-10,5.30698998489174e-16
404,4.0500000000000005e-10,5.284087153604371e-16
405,4.0600000000000005e-10,5.24269905522185e-16
406,4.0700000000000004e-10,5.436913282132406e-16
407,4.0800000000000004e-10,5.457529384144063e-16
408,4.0900000000000004e-10,5.511322197451687e-16
