,Time,OCM,BUT
0,1e-12,1.2092182782356493e-17,1.571802723135668e-17
1,2e-12,1.7948193821814855e-17,2.4925747431801123e-17
2,3e-12,2.0525725850997775e-17,3.3596964843684646e-17
3,4e-12,2.3594270495634703e-17,3.522564898561194e-17
4,5.0000000000000005e-12,2.802352317137901e-17,3.746878195820311e-17
5,6e-12,2.653696239768709e-17,3.929124871275571e-17
6,7.000000000000001e-12,2.889946188818565e-17,4.1524185175169084e-17
7,8e-12,2.795980592920049e-17,4.3052235175937204e-17
8,9.000000000000001e-12,3.195495403335548e-17,4.5577086250039345e-17
9,1.0000000000000001e-11,2.968017066119188e-17,4.476972288758299e-17
10,1.1e-11,3.319151234203503e-17,5.068801464274734e-17
11,1.2e-11,3.512660888164213e-17,4.31395477882891e-17
12,1.3e-11,3.4835362066927547e-17,5.4374453034507845e-17
13,1.4000000000000002e-11,3.4682939574066194e-17,4.540702649715341e-17
14,1.5e-11,3.5415839092578547e-17,5.807643181646464e-17
15,1.6e-11,3.894929617456123e-17,5.682042507218223e-17
16,1.7000000000000003e-11,3.903803169575333e-17,5.857106275767397e-17
17,1.8000000000000002e-11,4.142868585590312e-17,6.166586562935882e-17
18,1.9000000000000002e-11,4.229403200007587e-17,6.229627718849098e-17
19,2.0000000000000002e-11,4.3682255794738575e-17,7.043280755263019e-17
20,2.1000000000000002e-11,4.519945286307832e-17,7.058423743231646e-17
21,2.2e-11,4.5791145634748e-17,7.077091843014482e-17
22,2.3e-11,4.682316134986938e-17,7.740919513599372e-17
23,2.4e-11,4.729838241959036e-17,7.825739243497165e-17
24,2.5e-11,5.010123167256985e-17,7.475369308448776e-17
25,2.6e-11,5.119593901836776e-17,7.835556429893466e-17
26,2.7000000000000004e-11,5.714445465857306e-17,9.077707892432997e-17
27,2.8000000000000003e-11,5.335244546219456e-17,8.947593470771024e-17
28,2.9000000000000003e-11,5.581857920203787e-17,8.707546143250363e-17
29,3e-11,5.309468737901791e-17,7.642500102686001e-17
30,3.1e-11,5.320627417244604e-17,7.923852708825351e-17
31,3.2e-11,5.647941683316747e-17,8.153338080880622e-17
32,3.3e-11,5.784616554646267e-17,8.370670267712094e-17
33,3.4000000000000005e-11,5.916792535243778e-17,8.329839058941079e-17
34,3.5e-11,5.480441672851709e-17,8.227047800315093e-17
35,3.6000000000000005e-11,5.3799453399619534e-17,8.351317977119245e-17
36,3.7e-11,5.776798925029672e-17,8.644048751455224e-17
37,3.8000000000000004e-11,5.947050711825503e-17,8.817939748436716e-17
38,3.9e-11,5.768864898529018e-17,9.029075877532763e-17
39,4.0000000000000004e-11,6.078764215904834e-17,8.565246518842034e-17
40,4.1e-11,5.670406436530723e-17,8.412971072657341e-17
41,4.2000000000000004e-11,5.437883394674425e-17,8.00204445854759e-17
42,4.3e-11,6.036208645822499e-17,8.428029705258836e-17
43,4.4e-11,5.888365672009625e-17,8.562730311038997e-17
44,4.5000000000000006e-11,5.85648138324451e-17,9.330155028879706e-17
45,4.6e-11,5.865928231022226e-17,9.550637670266118e-17
46,4.7000000000000006e-11,6.370333017212237e-17,1.0540634749075859e-16
47,4.8e-11,5.988065219175277e-17,9.15773476145537e-17
48,4.9000000000000005e-11,6.194641615756248e-17,9.673504651361779e-17
49,5e-11,6.53491567026731e-17,1.0517510228169012e-16
50,5.1000000000000005e-11,6.102220416436213e-17,1.0961330812898747e-16
51,5.2e-11,6.680581615056788e-17,1.1000382230486642e-16
52,5.3000000000000004e-11,6.856003985646527e-17,1.1113277151138217e-16
53,5.400000000000001e-11,6.800062584676487e-17,1.0323788661895779e-16
54,5.5000000000000004e-11,7.044767893787457e-17,1.0992443723546411e-16
55,5.600000000000001e-11,6.75585698873024e-17,1.090519973783066e-16
56,5.7000000000000003e-11,7.012909390490106e-17,1.0403083058422857e-16
57,5.8000000000000007e-11,6.859937520627824e-17,1.0792065714834492e-16
58,5.9e-11,7.141700815505726e-17,1.0428429322049596e-16
59,6e-11,7.040904622939514e-17,1.1948790444921194e-16
60,6.100000000000001e-11,7.683111411825816e-17,1.0843084669236794e-16
61,6.2e-11,7.230109329858728e-17,1.1473675530417499e-16
62,6.3e-11,6.95585711197591e-17,1.0410112505180355e-16
63,6.4e-11,7.003816762355672e-17,1.0918951273734451e-16
64,6.500000000000001e-11,6.708945124065296e-17,1.1197940033678987e-16
65,6.6e-11,6.871298127442149e-17,1.12889904810014e-16
66,6.7e-11,6.978967040325754e-17,1.1873686581051236e-16
67,6.800000000000001e-11,7.386997350978245e-17,1.2539820304908849e-16
68,6.900000000000001e-11,7.450495215974814e-17,1.2585624580147329e-16
69,7e-11,7.502201892003733e-17,1.2078997748642673e-16
70,7.1e-11,7.200625561076608e-17,1.2105992314179761e-16
71,7.200000000000001e-11,7.467318974209428e-17,1.2734055563481002e-16
72,7.3e-11,7.228267810879051e-17,1.2957235836488005e-16
73,7.4e-11,7.40643816711693e-17,1.2369215309873135e-16
74,7.5e-11,7.355494857090606e-17,1.251690801213395e-16
75,7.600000000000001e-11,7.264051558552391e-17,1.2115392996052103e-16
76,7.7e-11,7.423992498124228e-17,1.2022703857099003e-16
77,7.8e-11,6.725475690135533e-17,1.1511403017295674e-16
78,7.900000000000001e-11,6.819047644402329e-17,1.1042609112801175e-16
79,8.000000000000001e-11,6.67674619096154e-17,1.0832299998747379e-16
80,8.1e-11,6.969606340185258e-17,1.1263613872319825e-16
81,8.2e-11,6.72945652150218e-17,1.123318509379518e-16
82,8.300000000000001e-11,6.900497231715787e-17,1.1123357350226958e-16
83,8.400000000000001e-11,6.976738578536442e-17,1.158867753259786e-16
84,8.5e-11,7.645722170568909e-17,1.214339580487784e-16
85,8.6e-11,7.311864974616542e-17,1.1501387905975929e-16
86,8.700000000000001e-11,7.138151404308566e-17,1.2065339477514509e-16
87,8.8e-11,7.961073697185372e-17,1.2283869457340624e-16
88,8.9e-11,8.10632964980426e-17,1.3163609965864812e-16
89,9.000000000000001e-11,7.813794151318247e-17,1.3098654767077871e-16
90,9.100000000000001e-11,7.48076591446063e-17,1.3273553494834487e-16
91,9.2e-11,7.451749284756128e-17,1.3290849871607146e-16
92,9.3e-11,7.859172445563155e-17,1.3434458936292201e-16
93,9.400000000000001e-11,7.698479746169505e-17,1.2638412210504551e-16
94,9.500000000000001e-11,7.386778739972021e-17,1.3195593649196119e-16
95,9.6e-11,7.430492835901791e-17,1.2057445720092283e-16
96,9.7e-11,7.971999820605783e-17,1.3232196105695666e-16
97,9.800000000000001e-11,7.775608134252492e-17,1.2899653162903407e-16
98,9.900000000000001e-11,7.827503322473382e-17,1.2941941953089831e-16
99,1e-10,7.894357841663607e-17,1.2464194656384423e-16
100,1.0100000000000001e-10,7.546542680032186e-17,1.3333523283025177e-16
101,1.0200000000000001e-10,7.64600308725526e-17,1.3249712108680862e-16
102,1.03e-10,7.527503136659831e-17,1.2402609132803385e-16
103,1.04e-10,7.744949047284011e-17,1.3165502282733454e-16
104,1.0500000000000001e-10,7.868757149911391e-17,1.2767135451281604e-16
105,1.0600000000000001e-10,7.51426345465974e-17,1.2243439852262058e-16
106,1.07e-10,7.313356086503364e-17,1.326906801650869e-16
107,1.0800000000000001e-10,7.653976202796495e-17,1.2548642273403235e-16
108,1.0900000000000001e-10,7.279670040358332e-17,1.3359145500139725e-16
109,1.1000000000000001e-10,7.936891116042117e-17,1.2673123047316157e-16
110,1.11e-10,7.793740720223428e-17,1.2816489791085708e-16
111,1.1200000000000001e-10,7.840491247301312e-17,1.3105286838129677e-16
112,1.1300000000000001e-10,7.130776829745616e-17,1.3380108888899382e-16
113,1.1400000000000001e-10,7.351894368157175e-17,1.3832328658808286e-16
114,1.15e-10,7.520894428724974e-17,1.2741064475870687e-16
115,1.1600000000000001e-10,7.298422492644785e-17,1.3625167445874093e-16
116,1.17e-10,7.596067361144633e-17,1.3465322121016205e-16
117,1.18e-10,7.607111347770985e-17,1.333997199783703e-16
118,1.19e-10,7.969734099650088e-17,1.2981741634258964e-16
119,1.2e-10,8.347421564756757e-17,1.3488579424372292e-16
120,1.2100000000000002e-10,8.213366553551365e-17,1.3081020359341795e-16
121,1.2200000000000002e-10,7.998870050413645e-17,1.221860530526303e-16
122,1.2300000000000001e-10,7.875281325808978e-17,1.312607682065888e-16
123,1.24e-10,7.684952629523681e-17,1.3359875391959925e-16
124,1.25e-10,8.031776331380938e-17,1.3705854564200313e-16
125,1.26e-10,7.947614590347424e-17,1.3081284708363542e-16
126,1.27e-10,7.72886825900867e-17,1.4577699083045024e-16
127,1.28e-10,7.867044213742321e-17,1.3836534831402176e-16
128,1.2900000000000002e-10,8.340407923631527e-17,1.4381625461236647e-16
129,1.3000000000000002e-10,8.1718707784157e-17,1.4014673757652182e-16
