,Time,PET,BUT
0,1e-12,4.400348414340916e-17,7.708634600085486e-17
1,2e-12,6.051293214691965e-17,1.0285521162473675e-16
2,3e-12,6.022677028007239e-17,1.121293943296236e-16
3,4e-12,7.809323836532864e-17,1.2276442599909886e-16
4,5.0000000000000005e-12,8.880972622739043e-17,1.2969062300230043e-16
5,6e-12,7.867172076929553e-17,1.5712262658641535e-16
6,7.000000000000001e-12,9.868901953842979e-17,1.6789853181574515e-16
7,8e-12,7.363223656057637e-17,1.644298841169654e-16
8,9.000000000000001e-12,7.912168394374656e-17,1.839517828452176e-16
9,1.0000000000000001e-11,9.015085000762533e-17,1.8034949375125856e-16
10,1.1e-11,8.869123548026826e-17,1.673726152306718e-16
11,1.2e-11,8.466574438480292e-17,1.6431781312693835e-16
12,1.3e-11,9.781768877989788e-17,1.9489397657528238e-16
13,1.4000000000000002e-11,1.2347576026868986e-16,2.4723449448574917e-16
14,1.5e-11,1.2241741480655244e-16,2.490282651902948e-16
15,1.6e-11,1.2820636443383202e-16,2.4380663841119787e-16
16,1.7000000000000003e-11,1.390180538588089e-16,2.7079428230879217e-16
17,1.8000000000000002e-11,1.4039914253984448e-16,2.8310243241342036e-16
18,1.9000000000000002e-11,1.3809370073615944e-16,2.90957653807738e-16
19,2.0000000000000002e-11,1.3825892493403289e-16,3.122638936141634e-16
20,2.1000000000000002e-11,1.4697855302097966e-16,3.542948452784762e-16
21,2.2e-11,1.6340389251123463e-16,4.730344001373577e-16
22,2.3e-11,1.5872911454885652e-16,3.7433472292034286e-16
23,2.4e-11,1.557788386334822e-16,4.061349239148386e-16
24,2.5e-11,1.6660953279578773e-16,4.377661483325007e-16
25,2.6e-11,1.6130681794218088e-16,3.6237992060062553e-16
26,2.7000000000000004e-11,1.676235908238993e-16,4.260617357123414e-16
27,2.8000000000000003e-11,1.8003913461915183e-16,4.223038207802859e-16
28,2.9000000000000003e-11,1.5798618516817339e-16,4.0233973212734935e-16
29,3e-11,1.692861539236736e-16,3.7801614059402344e-16
30,3.1e-11,1.6902946621199878e-16,4.1617863852321175e-16
31,3.2e-11,1.6054210147070307e-16,3.76729064643035e-16
32,3.3e-11,1.613880206699982e-16,4.052971144758071e-16
33,3.4000000000000005e-11,1.6437397641572525e-16,4.2361799533246236e-16
34,3.5e-11,1.6153589709212463e-16,4.164666407975433e-16
35,3.6000000000000005e-11,1.7514312046276536e-16,4.2221779806530205e-16
36,3.7e-11,1.7138632488256011e-16,4.248675959344597e-16
37,3.8000000000000004e-11,1.769271074292916e-16,5.091041803433006e-16
38,3.9e-11,1.6816180831338805e-16,5.094501355876534e-16
39,4.0000000000000004e-11,1.6720760024774916e-16,4.605309821434785e-16
40,4.1e-11,1.8896394095887404e-16,4.546123041955762e-16
41,4.2000000000000004e-11,1.8682837095461127e-16,4.763996737314755e-16
42,4.3e-11,1.6881176909096462e-16,4.579357910628997e-16
43,4.4e-11,1.805119125890058e-16,5.101313710153257e-16
44,4.5000000000000006e-11,1.7980918609648442e-16,4.470644090685101e-16
45,4.6e-11,1.8871795547309306e-16,4.2206867862339183e-16
46,4.7000000000000006e-11,1.7803548516711767e-16,3.981185943777107e-16
47,4.8e-11,1.8004876854728566e-16,4.776590565161338e-16
48,4.9000000000000005e-11,1.9969397943257913e-16,4.3121910015655714e-16
49,5e-11,1.9648624428369785e-16,4.637806138676429e-16
50,5.1000000000000005e-11,2.1574692765672025e-16,5.000691282720653e-16
51,5.2e-11,2.14473162557667e-16,4.621544033518278e-16
52,5.3000000000000004e-11,1.886002308618382e-16,5.151210205845906e-16
53,5.400000000000001e-11,2.1756960418425154e-16,5.113024702541542e-16
54,5.5000000000000004e-11,1.983298841639106e-16,5.190001092428662e-16
55,5.600000000000001e-11,1.9541318810242235e-16,5.466918688073186e-16
56,5.7000000000000003e-11,2.1795118523219715e-16,5.607803605040807e-16
57,5.8000000000000007e-11,2.3860617213585475e-16,5.769854825762036e-16
58,5.9e-11,2.2369535962579975e-16,5.845237167263382e-16
