,x,Temperature,rho,w_mass,w_vol,D,Viscosity,E,D0,compound
0,100.0,15,0.6999999999999998,100.0,100.0,80056.83786813321,3.600238095238095,19660.651840746676,294247430.08677375,butanol
1,100.0,20,0.6999999999999998,100.0,100.0,90518.90921217998,3.2413333333333325,19660.651840746676,294247430.08677375,butanol
2,100.0,25,0.6999999999999998,100.0,100.0,105751.20947671356,2.8202284752284745,19660.651840746676,294247430.08677375,butanol
3,100.0,30,0.6999999999999998,100.0,100.0,120714.74912612267,2.5116666666666667,19660.651840746676,294247430.08677375,butanol
4,100.0,40,0.6999999999999998,100.0,100.0,153901.19006472308,2.0349999999999997,19660.651840746676,294247430.08677375,butanol
5,0.0,15,1.07,0.0,0.0,53056.62843231423,5.432379658385094,21140.81166863093,364703912.38879997,dmag
6,0.0,20,1.07,0.0,0.0,62497.202604691345,4.692648490226129,21140.81166863093,364703912.38879997,dmag
7,0.0,25,1.07,0.0,0.0,72576.17499409433,4.1090086996337,21140.81166863093,364703912.38879997,dmag
8,0.0,30,1.07,0.0,0.0,83429.77671986468,3.6344067728442733,21140.81166863093,364703912.3888,dmag
9,0.0,40,1.07,0.0,0.0,105887.60003105203,2.9532692307692305,21140.811668630926,364703912.3888001,dmag
10,11.990940175206529,15,1.07,4.8500000000000005,7.413571428571429,61578.469301009536,4.686153846153845,20010.594808262067,259880180.96959603,dmag
11,11.990940175206529,20,1.07,4.849999999999999,7.413571428571428,70566.21456223335,4.155712284913966,20010.594808262063,259880180.96959606,dmag
12,11.990940175206529,25,1.07,4.849999999999999,7.413571428571428,81579.62083015633,3.6557142857142857,20010.594808262063,259880180.96959606,dmag
13,11.990940175206529,30,1.07,4.849999999999999,7.413571428571428,93004.40832706528,3.260051020408164,20010.594808262067,259880180.96959606,dmag
14,11.990940175206529,40,1.07,4.85,7.413571428571429,117656.54669918944,2.659333333333334,20010.594808262067,259880180.969596,dmag
15,22.367037495996993,15,1.0500000000000003,9.73,14.595000000000002,71757.37874856027,4.0200000000000005,19107.24719544104,207726214.04821506,dmag
16,22.367037495996993,20,1.0500000000000003,9.729999999999999,14.595000000000008,81710.68213829197,3.5884517409114185,19107.247195441036,207726214.0482151,dmag
17,22.367037495996993,25,1.0500000000000003,9.729999999999999,14.595000000000006,93354.45394288472,3.1945064935064926,19107.247195441036,207726214.0482151,dmag
18,22.367037495996993,30,1.0500000000000003,9.729999999999999,14.595000000000004,106340.66796193228,2.8514888888888885,19107.247195441036,207726214.0482151,dmag
19,22.367037495996986,40,1.0500000000000003,9.730000000000002,14.595000000000004,131705.05540842313,2.374444444444445,19107.24719544104,207726214.04821512,dmag
20,35.06995463563187,15,1.0299999999999998,16.81,24.734714285714286,66752.11981599942,4.322967032967032,19529.252751978405,231382147.63478532,dmag
21,35.06995463563189,20,1.0300000000000002,16.81,24.734714285714283,77230.9041355487,3.8010643738977072,19529.252751978405,231382147.63478538,dmag
22,35.06995463563189,25,1.0300000000000002,16.81,24.734714285714283,88215.97544559783,3.380595238095238,19529.252751978405,231382147.63478538,dmag
23,35.06995463563188,30,1.03,16.81,24.734714285714283,100902.9783838487,3.0059180945105313,19529.252751978405,231382147.63478535,dmag
24,39.78587350349757,20,1.02,19.82,28.880571428571432,85638.91024335162,3.4238076923076926,18805.747346772365,193058242.18448386,dmag
25,39.78587350349757,25,1.02,19.82,28.880571428571432,97502.93694086562,3.0603760683760677,18805.747346772365,193058242.18448386,dmag
26,39.78587350349757,30,1.02,19.82,28.880571428571432,111625.60103618194,2.716190476190476,18805.747346772365,193058242.18448386,dmag
27,39.78587350349757,40,1.0199999999999998,19.819999999999997,28.880571428571432,138373.5254827712,2.2599999999999993,18805.747346772372,193058242.1844838,dmag
28,0.0,15,1.72,0.0,0.0,928.1143544816334,311.4015641208575,59372.5934995717,58053559827657.91,ocm
29,0.0,20,1.72,0.0,0.0,1498.0182699398117,196.26381609954637,59372.59349957169,58053559827657.89,ocm
30,0.0,25,1.7199999999999998,0.0,0.0,2321.585749408778,128.91808345681582,59372.593499571696,58053559827657.89,ocm
31,0.0,30,1.72,0.0,0.0,3429.9398681832713,88.46563347875802,59372.593499571696,58053559827657.89,ocm
32,0.0,40,1.7199999999999998,0.0,0.0,6380.65680042561,49.12027054223449,59372.593499571696,58053559827657.89,ocm
33,12.143251252861443,15,1.58,2.39,5.394571428571429,1534.664945766608,188.12035714285716,52367.62704465405,4791470034128.69,ocm
34,12.143251252861443,20,1.58,2.39,5.394571428571429,2208.8059905466907,132.96227788723147,52367.62704465405,4791470034128.69,ocm
35,12.143251252861443,25,1.58,2.39,5.394571428571429,3216.9201157723815,92.88069151724861,52367.62704465405,4791470034128.69,ocm
36,12.143251252861441,30,1.5799999999999996,2.39,5.394571428571428,4395.7878526680015,70.69008928571427,52367.62704465406,4791470034128.689,ocm
37,12.143251252861441,40,1.5799999999999998,2.39,5.394571428571429,8444.992445975487,37.05439017903487,52367.62704465406,4791470034128.689,ocm
38,22.83053429467004,15,1.57,4.98,11.169428571428574,1930.511659453109,149.7027714406346,52025.03010684698,5275514951246.829,ocm
39,22.830534294670038,20,1.5699999999999998,4.980000000000001,11.169428571428572,3068.6526990626726,96.08791761830123,52025.03010684698,5275514951246.829,ocm
40,22.830534294670038,25,1.5699999999999998,4.980000000000001,11.169428571428572,4212.243675306282,70.86771900853464,52025.03010684698,5275514951246.829,ocm
41,22.830534294670038,30,1.5699999999999998,4.980000000000001,11.169428571428572,5815.503957628778,52.21504267176742,52025.03010684698,5275514951246.829,ocm
42,22.830534294670038,40,1.57,4.980000000000002,11.169428571428572,9592.4150954583,32.61207792207794,52025.03010684698,5275514951246.829,ocm
43,31.707943578559078,15,1.5500000000000005,7.599999999999997,16.828571428571426,2725.3678539200837,105.97193663411028,47746.14564175395,1235647924812.8499,ocm
44,31.707943578559078,20,1.5500000000000005,7.599999999999997,16.828571428571426,4008.3731301574744,73.39998797219515,47746.145641753945,1235647924812.8499,ocm
45,31.707943578559078,25,1.5500000000000003,7.599999999999997,16.828571428571426,5605.11994010089,53.22976190476191,47746.14564175395,1235647924812.8499,ocm
46,31.707943578559068,30,1.5500000000000003,7.599999999999999,16.82857142857143,7504.958016210976,40.44380325362468,47746.14564175395,1235647924812.8503,ocm
47,31.707943578559078,40,1.55,7.6,16.82857142857143,12709.777906966732,24.631409685086158,47746.14564175396,1235647924812.8499,ocm
48,38.728990568126946,15,1.5399999999999998,10.069999999999999,22.154,3556.7199461412324,81.15818181818182,43340.692619078225,262135768384.5234,ocm
49,38.72899056812694,20,1.5399999999999998,10.069999999999999,22.154000000000003,4880.432085949781,60.200442715586526,43340.692619078225,262135768384.52338,ocm
50,38.728990568126946,25,1.5399999999999998,10.069999999999999,22.154000000000003,6756.704869455709,44.19028489338319,43340.692619078225,262135768384.52338,ocm
51,38.728990568126946,30,1.5399999999999998,10.069999999999999,22.154000000000003,9057.66865750385,33.51478067872116,43340.692619078225,262135768384.52338,ocm
52,38.728990568126946,40,1.5399999999999998,10.07,22.154,14413.04066392344,21.70323743386243,43340.692619078225,262135768384.5234,ocm
53,44.18714953423492,15,1.53,12.300000000000002,26.88428571428572,4195.056082165414,68.79068027210883,43988.45446121741,399278611360.947,ocm
54,44.187149534234926,20,1.53,12.3,26.88428571428572,5981.585545837501,49.06823529411765,43988.45446121741,399278611360.94696,ocm
55,44.18714953423492,25,1.53,12.300000000000002,26.88428571428572,7980.262987918128,37.4089538505583,43988.45446121741,399278611360.94696,ocm
56,44.18714953423492,30,1.5300000000000005,12.300000000000002,26.884285714285728,10660.18365200573,28.46715219421102,43988.45446121741,399278611360.947,ocm
57,44.187149534234926,40,1.5300000000000002,12.300000000000002,26.884285714285724,17266.196479524704,18.115384615384613,43988.4544612174,399278611360.94696,ocm
