,Time,BUT,OCM
0,1e-12,1.16169295280793e-17,1.0381256235300653e-17
1,2e-12,1.304708002083704e-17,1.2835803442934928e-17
2,3e-12,1.270313824256742e-17,1.3073055330659908e-17
3,4e-12,1.76489815310396e-17,1.5208841012010985e-17
4,5.0000000000000005e-12,2.0940804318960506e-17,1.6147299846934302e-17
5,6e-12,2.3793529984278353e-17,1.993819369189768e-17
6,7.000000000000001e-12,2.4323907612358977e-17,2.080548424869289e-17
7,8e-12,2.3544386853416715e-17,2.4095201093698167e-17
8,9.000000000000001e-12,2.814340146174232e-17,2.4298831613594653e-17
9,1.0000000000000001e-11,3.600320199171782e-17,2.589980145072829e-17
10,1.1e-11,4.1022092737895506e-17,2.97883935413961e-17
11,1.2e-11,3.302949684843751e-17,2.6383283578281886e-17
12,1.3e-11,3.972652206019028e-17,2.9820257513399696e-17
13,1.4000000000000002e-11,4.0209147082813e-17,2.867840982875926e-17
14,1.5e-11,4.0078841640787877e-17,2.886743636558897e-17
15,1.6e-11,4.419764086408349e-17,2.957709984645229e-17
16,1.7000000000000003e-11,4.8647673159239964e-17,2.7010790455861362e-17
17,1.8000000000000002e-11,5.0621315491706925e-17,3.012571392788433e-17
18,1.9000000000000002e-11,4.5661041487077184e-17,2.994073045905432e-17
19,2.0000000000000002e-11,6.208421845090457e-17,3.217142550052819e-17
20,2.1000000000000002e-11,5.776174171786757e-17,3.6719665440171616e-17
21,2.2e-11,5.953486367720781e-17,3.931809688142616e-17
22,2.3e-11,5.692928931458051e-17,3.781543458714364e-17
23,2.4e-11,6.783041111626387e-17,4.0835965003868057e-17
24,2.5e-11,6.831243225222738e-17,3.6260116277261936e-17
25,2.6e-11,6.511302967406413e-17,4.051137951684592e-17
26,2.7000000000000004e-11,6.64947102910859e-17,3.91308471287381e-17
27,2.8000000000000003e-11,6.526766504592316e-17,4.0994392122577745e-17
28,2.9000000000000003e-11,6.706813115605453e-17,4.1971607322272764e-17
29,3e-11,6.57718047805199e-17,4.183482036438472e-17
30,3.1e-11,6.101911260823399e-17,4.1539948515794774e-17
31,3.2e-11,6.639909735970834e-17,4.437155974424094e-17
32,3.3e-11,6.562961880174443e-17,4.260804422231325e-17
33,3.4000000000000005e-11,6.394082395363995e-17,4.19657888981317e-17
34,3.5e-11,8.116122824655806e-17,4.859324136452289e-17
35,3.6000000000000005e-11,6.711255796318956e-17,4.5590157205598134e-17
36,3.7e-11,9.470870743969174e-17,5.0906759739342406e-17
37,3.8000000000000004e-11,7.471045017599626e-17,4.8929514391127844e-17
38,3.9e-11,1.0145379530968296e-16,5.200170689206319e-17
39,4.0000000000000004e-11,1.1385662876935298e-16,5.640864151358598e-17
40,4.1e-11,1.2495541105841285e-16,6.005577104651937e-17
41,4.2000000000000004e-11,1.2964778149565338e-16,5.954806497812588e-17
42,4.3e-11,1.2515982407889857e-16,6.143250970457352e-17
43,4.4e-11,1.371989470576046e-16,6.164604749501664e-17
44,4.5000000000000006e-11,1.4519533443038065e-16,6.656462855376498e-17
45,4.6e-11,1.481902582771031e-16,7.052589212198478e-17
46,4.7000000000000006e-11,1.4163428202953594e-16,7.004271906774058e-17
47,4.8e-11,1.4410558897157394e-16,7.217538616516631e-17
48,4.9000000000000005e-11,1.65402461252976e-16,7.5886851337523e-17
49,5e-11,1.652110061674599e-16,7.405234240207833e-17
50,5.1000000000000005e-11,1.5595283565233174e-16,7.67981618336832e-17
51,5.2e-11,1.6777480743706254e-16,7.997214471700816e-17
52,5.3000000000000004e-11,1.6011172319112066e-16,7.816486135195043e-17
53,5.400000000000001e-11,1.4818249832300795e-16,8.00576575629987e-17
54,5.5000000000000004e-11,1.5487955080269974e-16,7.800108712847596e-17
55,5.600000000000001e-11,1.5822929995067412e-16,7.58942980337588e-17
56,5.7000000000000003e-11,1.5465953286507065e-16,7.961211652740838e-17
57,5.8000000000000007e-11,1.655456582048386e-16,7.92395660248256e-17
58,5.9e-11,1.660508278872588e-16,8.082984559038326e-17
