,Time,BUT,OCM
0,1e-12,1.4859109323753857e-17,1.3824757345312823e-17
1,2e-12,2.445679417906064e-17,1.8260918524029953e-17
2,3e-12,2.9981959244740404e-17,2.0443567819565578e-17
3,4e-12,3.239175978828612e-17,2.0886725513337124e-17
4,5.0000000000000005e-12,3.840634000841987e-17,2.2989431813635027e-17
5,6e-12,3.26041758317046e-17,2.18710166791747e-17
6,7.000000000000001e-12,4.097195690311929e-17,2.437163798375806e-17
7,8e-12,4.604560808737875e-17,2.740361042494915e-17
8,9.000000000000001e-12,5.299067192699219e-17,2.5252666401592055e-17
9,1.0000000000000001e-11,4.7954640389777983e-17,2.497020189932856e-17
10,1.1e-11,4.9532387177285215e-17,2.7680466605664928e-17
11,1.2e-11,4.114514305502067e-17,2.5102835749688878e-17
12,1.3e-11,4.360818010304539e-17,2.6627830364341258e-17
13,1.4000000000000002e-11,5.659249100169984e-17,2.633125663717439e-17
14,1.5e-11,5.1996779976202323e-17,2.7001656775926434e-17
15,1.6e-11,5.481756445202861e-17,2.768554166524655e-17
16,1.7000000000000003e-11,4.8528958863901536e-17,2.5029634737516168e-17
17,1.8000000000000002e-11,4.6571181519501584e-17,2.6071733072278913e-17
18,1.9000000000000002e-11,4.581284705158214e-17,2.597996141780813e-17
19,2.0000000000000002e-11,4.8195422112923614e-17,2.5467596617296934e-17
20,2.1000000000000002e-11,4.591763101182242e-17,2.4874084034937763e-17
21,2.2e-11,4.953495260365229e-17,2.7813021195784247e-17
22,2.3e-11,5.229486706588967e-17,2.701426209905775e-17
23,2.4e-11,5.487890255759971e-17,2.63406913557481e-17
24,2.5e-11,5.693551620299422e-17,2.6242122905347002e-17
25,2.6e-11,5.4989340786918233e-17,2.6769541965107986e-17
26,2.7000000000000004e-11,5.3740130305171717e-17,2.795191944787426e-17
27,2.8000000000000003e-11,5.599214960377584e-17,3.140330144524822e-17
28,2.9000000000000003e-11,6.794694363354834e-17,2.7022698512399684e-17
29,3e-11,5.4375003638277126e-17,2.605327859396295e-17
30,3.1e-11,5.977578972119195e-17,2.7854165993540753e-17
31,3.2e-11,6.307143305578303e-17,2.9411619503908517e-17
32,3.3e-11,6.528358027870111e-17,3.008165372091239e-17
33,3.4000000000000005e-11,5.990219379877824e-17,2.774689113584851e-17
34,3.5e-11,6.35503284587288e-17,3.1180319351946175e-17
35,3.6000000000000005e-11,6.62340312671031e-17,3.0122410307846757e-17
36,3.7e-11,5.975635083619102e-17,3.102386712330364e-17
37,3.8000000000000004e-11,7.136124202609765e-17,3.012259991185386e-17
38,3.9e-11,6.364385571285506e-17,3.080264415365951e-17
39,4.0000000000000004e-11,5.993461199967514e-17,2.964385280133825e-17
40,4.1e-11,5.971386049547207e-17,2.8096572567364386e-17
41,4.2000000000000004e-11,6.611940543891652e-17,2.8482941980835647e-17
42,4.3e-11,7.218448930702507e-17,2.981977771568582e-17
43,4.4e-11,6.826943229370687e-17,3.208379261453929e-17
44,4.5000000000000006e-11,6.335994374807109e-17,3.117339053845779e-17
45,4.6e-11,6.391466984577726e-17,2.937209057422052e-17
46,4.7000000000000006e-11,6.611725576157894e-17,3.1947033486436214e-17
47,4.8e-11,7.305066630088286e-17,3.275137108810409e-17
48,4.9000000000000005e-11,7.088604519981086e-17,3.415805051553783e-17
49,5e-11,7.127481086254347e-17,3.198428039329009e-17
50,5.1000000000000005e-11,6.199618314673296e-17,3.063928060686338e-17
51,5.2e-11,7.449578987971168e-17,3.514260371658261e-17
52,5.3000000000000004e-11,6.743740951268522e-17,3.225990965778489e-17
53,5.400000000000001e-11,7.609087965754361e-17,3.295508887758027e-17
54,5.5000000000000004e-11,6.610329799638328e-17,3.2871680875641914e-17
55,5.600000000000001e-11,6.998702745717768e-17,3.883438772551355e-17
56,5.7000000000000003e-11,7.504159821436076e-17,4.1805134858307876e-17
57,5.8000000000000007e-11,6.965811622469548e-17,3.770899561654898e-17
58,5.9e-11,7.045271215861698e-17,4.044272248752441e-17
59,6e-11,7.860494454102145e-17,4.348364213122841e-17
60,6.100000000000001e-11,7.737404697692578e-17,4.4769602671198195e-17
61,6.2e-11,8.890947010845338e-17,4.637731100013517e-17
62,6.3e-11,7.35197732801216e-17,4.55454505923429e-17
63,6.4e-11,7.824686847610309e-17,4.7579911009173454e-17
64,6.500000000000001e-11,8.00276523101813e-17,5.0050087431822725e-17
65,6.6e-11,7.809248175098001e-17,4.97715087334007e-17
66,6.7e-11,7.66839609433694e-17,5.137218010282584e-17
67,6.800000000000001e-11,7.841329352246583e-17,4.8499793974050745e-17
68,6.900000000000001e-11,7.537471987304491e-17,4.968757137738624e-17
69,7e-11,7.397806100167846e-17,5.035694595496331e-17
70,7.1e-11,8.499278492470658e-17,5.227321335437609e-17
71,7.200000000000001e-11,8.001732850025393e-17,5.1304410158236214e-17
72,7.3e-11,8.78430294188005e-17,5.343322882409653e-17
73,7.4e-11,7.384131911083815e-17,5.1376631802502954e-17
74,7.5e-11,7.852671005199097e-17,5.375249508250449e-17
75,7.600000000000001e-11,8.517071815078892e-17,5.645727190306074e-17
76,7.7e-11,8.729129629902774e-17,5.1487114150627505e-17
77,7.8e-11,9.103206700908165e-17,5.5130312879670576e-17
78,7.900000000000001e-11,9.061610040424879e-17,5.414920891111403e-17
79,8.000000000000001e-11,9.093519290251752e-17,5.5247419025997e-17
80,8.1e-11,9.156340155584282e-17,5.648601058507522e-17
81,8.2e-11,9.128064138687526e-17,5.87147596240144e-17
82,8.300000000000001e-11,9.603680132141647e-17,5.96129797205603e-17
83,8.400000000000001e-11,1.1186130531182083e-16,5.781960025385286e-17
84,8.5e-11,1.1963116700637995e-16,6.063315698274246e-17
85,8.6e-11,1.1995220440849255e-16,6.17379818043251e-17
86,8.700000000000001e-11,1.0427226658739796e-16,6.317120128938571e-17
87,8.8e-11,1.0375777784829673e-16,6.130929981697553e-17
88,8.9e-11,1.0533068685037547e-16,6.368271076196679e-17
89,9.000000000000001e-11,1.0011480137395574e-16,6.046479136225616e-17
90,9.100000000000001e-11,1.0221336510599803e-16,6.326727835702829e-17
91,9.2e-11,9.742190591462295e-17,6.380547610754364e-17
92,9.3e-11,1.0642291448203922e-16,6.368530572824169e-17
93,9.400000000000001e-11,1.0784461128173515e-16,6.217561905194692e-17
94,9.500000000000001e-11,9.426675185003219e-17,6.200473027396882e-17
95,9.6e-11,9.735482147289505e-17,5.857642387631497e-17
96,9.7e-11,1.1236650232616023e-16,5.962104194878924e-17
97,9.800000000000001e-11,9.927626424139831e-17,6.347513408260566e-17
98,9.900000000000001e-11,1.0060940894757723e-16,6.448867118154273e-17
99,1e-10,9.994952065442957e-17,6.33644719122948e-17
100,1.0100000000000001e-10,9.91771492738058e-17,6.197452592272548e-17
