,Time,BUT,OCM
0,1e-12,1.6696077335878742e-17,1.287226147278223e-17
1,2e-12,2.2518889053349417e-17,1.6854797965946485e-17
2,3e-12,2.3082161747120008e-17,2.0088373655086786e-17
3,4e-12,3.144545387807522e-17,2.088938632234677e-17
4,5.0000000000000005e-12,3.6430049632116693e-17,2.2962456204632954e-17
5,6e-12,3.801206521646287e-17,2.6255068135405643e-17
6,7.000000000000001e-12,3.460073969470367e-17,2.88508545603607e-17
7,8e-12,3.3980763997719985e-17,2.8568993325228494e-17
8,9.000000000000001e-12,3.824713253752835e-17,2.910529560073356e-17
9,1.0000000000000001e-11,3.633940087059544e-17,3.106249951774221e-17
10,1.1e-11,3.822113466361626e-17,3.316974591528504e-17
11,1.2e-11,3.9100668559108085e-17,3.5340645699330726e-17
12,1.3e-11,4.493834101524306e-17,3.3234336200600256e-17
13,1.4000000000000002e-11,4.542919335977105e-17,3.443616801615379e-17
14,1.5e-11,4.437036584523475e-17,3.355328501637413e-17
15,1.6e-11,3.872757245357146e-17,3.243117204700287e-17
16,1.7000000000000003e-11,4.550490589903831e-17,3.511941959188357e-17
17,1.8000000000000002e-11,5.290187454973211e-17,3.5540311263681726e-17
18,1.9000000000000002e-11,4.322690535184304e-17,3.340677046609872e-17
19,2.0000000000000002e-11,5.1648937143342086e-17,3.603677742815152e-17
20,2.1000000000000002e-11,4.943301487724775e-17,3.3764317194965766e-17
21,2.2e-11,4.6814327400772614e-17,3.3930629644004503e-17
22,2.3e-11,4.7619467955897e-17,3.6731253834438e-17
23,2.4e-11,5.2250008269966205e-17,3.5576342448048e-17
24,2.5e-11,4.825510531729953e-17,3.4263417869587376e-17
25,2.6e-11,5.04804483078426e-17,3.5543069247811176e-17
26,2.7000000000000004e-11,4.866778018892844e-17,3.3414004836071305e-17
27,2.8000000000000003e-11,4.6681548044154194e-17,3.821246978661377e-17
28,2.9000000000000003e-11,5.2014108082090657e-17,3.9471999513174985e-17
29,3e-11,4.858060386652217e-17,3.7221124277924594e-17
30,3.1e-11,5.081507020337349e-17,3.9335227384998315e-17
31,3.2e-11,5.3773792662763746e-17,4.2080554473992106e-17
32,3.3e-11,5.944414748194882e-17,4.601373805127829e-17
33,3.4000000000000005e-11,5.410905802478992e-17,4.422665210693453e-17
34,3.5e-11,5.4274546225132053e-17,4.421602267434379e-17
35,3.6000000000000005e-11,5.963647897779213e-17,4.604745906933664e-17
36,3.7e-11,6.296007503585332e-17,4.7650935520362907e-17
37,3.8000000000000004e-11,6.438226677682942e-17,5.0469764576368945e-17
38,3.9e-11,6.131762021005157e-17,5.026247120403324e-17
39,4.0000000000000004e-11,6.697147449893942e-17,4.9022139302858993e-17
40,4.1e-11,6.684524256504057e-17,5.3372139863744766e-17
41,4.2000000000000004e-11,7.55957423244372e-17,5.933165840124268e-17
42,4.3e-11,6.810470733804369e-17,5.627522508809725e-17
43,4.4e-11,6.871958532009992e-17,5.733885245584192e-17
44,4.5000000000000006e-11,6.751666113887921e-17,5.786525932452902e-17
45,4.6e-11,6.997971121233148e-17,5.677180290406661e-17
