,Time,OCM,BUT
0,1e-12,1.3814529242389085e-17,1.4899298575527417e-17
1,2e-12,1.2501585041548966e-17,2.1500695151113575e-17
2,3e-12,1.3492342527250505e-17,1.6351203274390293e-17
3,4e-12,1.419440672231297e-17,1.5434271099936774e-17
4,5.0000000000000005e-12,1.369772662521009e-17,2.0913216442482773e-17
5,6e-12,1.6847365959386528e-17,2.2560344595116385e-17
6,7.000000000000001e-12,2.0743128605292474e-17,3.164980960488653e-17
7,8e-12,2.2571924667090197e-17,3.223223525868382e-17
8,9.000000000000001e-12,2.25921120298985e-17,3.78362120724149e-17
9,1.0000000000000001e-11,2.860853931625706e-17,4.009218605820975e-17
10,1.1e-11,3.2677508728914395e-17,4.45509699372779e-17
11,1.2e-11,3.1975617547950785e-17,4.238149775247027e-17
12,1.3e-11,4.0255535573673883e-17,5.1789164856380596e-17
13,1.4000000000000002e-11,4.3918584648511884e-17,5.085660715632659e-17
14,1.5e-11,4.0546802196987424e-17,5.413258356825793e-17
15,1.6e-11,3.9191445511443855e-17,5.3537542982402996e-17
16,1.7000000000000003e-11,4.622864883390651e-17,5.613649166361903e-17
17,1.8000000000000002e-11,4.641391547017264e-17,6.020004876796286e-17
18,1.9000000000000002e-11,4.4617079730337206e-17,5.897692627005813e-17
19,2.0000000000000002e-11,5.229379312496548e-17,6.364514550851699e-17
20,2.1000000000000002e-11,5.4010784031038916e-17,6.990263976937365e-17
21,2.2e-11,5.216033595843289e-17,6.92928845193785e-17
22,2.3e-11,5.957981071086898e-17,7.333235134716687e-17
23,2.4e-11,5.761787610012283e-17,7.512002146257765e-17
24,2.5e-11,5.56850796769242e-17,7.343198294895762e-17
25,2.6e-11,6.164171278961707e-17,8.367624413242844e-17
26,2.7000000000000004e-11,5.998921300880743e-17,8.487361209262421e-17
27,2.8000000000000003e-11,6.255221377691796e-17,7.67293390951058e-17
28,2.9000000000000003e-11,6.00170378151826e-17,8.436445131529317e-17
29,3e-11,6.367573925019728e-17,9.078232663720022e-17
30,3.1e-11,7.077571227299054e-17,9.974806410253471e-17
31,3.2e-11,6.976055607218178e-17,9.860951788969057e-17
32,3.3e-11,7.094624246650954e-17,1.0262056105584141e-16
33,3.4000000000000005e-11,7.489199759074667e-17,1.0180758972155865e-16
34,3.5e-11,7.515205054738359e-17,1.0234780756609307e-16
35,3.6000000000000005e-11,8.130945206495746e-17,1.0972695077612124e-16
36,3.7e-11,9.329029205962864e-17,1.1286487119528435e-16
37,3.8000000000000004e-11,9.04089512741744e-17,1.1136349883652082e-16
38,3.9e-11,8.560100814055487e-17,1.1093480669724423e-16
39,4.0000000000000004e-11,8.541152772322541e-17,1.117365961258222e-16
40,4.1e-11,8.682181884294824e-17,1.1523957894154748e-16
41,4.2000000000000004e-11,9.736623973641324e-17,1.2616465065292705e-16
42,4.3e-11,9.249061849184852e-17,1.2281848184405032e-16
43,4.4e-11,9.685710995613463e-17,1.2949085407503592e-16
44,4.5000000000000006e-11,9.597042598388087e-17,1.2764215430941048e-16
45,4.6e-11,9.430855408543427e-17,1.2616405249890844e-16
46,4.7000000000000006e-11,9.704145122044165e-17,1.1950163559349602e-16
47,4.8e-11,9.640651424644701e-17,1.320966149705702e-16
48,4.9000000000000005e-11,9.873367547036467e-17,1.2673012106248845e-16
49,5e-11,9.721735389788343e-17,1.2481514718643436e-16
50,5.1000000000000005e-11,1.0145562255198002e-16,1.242534738441432e-16
51,5.2e-11,1.0154733977883899e-16,1.284205985572576e-16
52,5.3000000000000004e-11,1.0246169795770216e-16,1.3159938223960695e-16
53,5.400000000000001e-11,1.0096821602629413e-16,1.325069731905663e-16
54,5.5000000000000004e-11,1.0415188559186308e-16,1.2789356023831677e-16
55,5.600000000000001e-11,1.0222421603192262e-16,1.2954228057599797e-16
56,5.7000000000000003e-11,1.0464384756741955e-16,1.3859846287424185e-16
57,5.8000000000000007e-11,1.0728801435445531e-16,1.420066465587696e-16
58,5.9e-11,1.0645859561599056e-16,1.4883533784900024e-16
59,6e-11,1.051547196607344e-16,1.4716769466520132e-16
60,6.100000000000001e-11,1.1028987815213802e-16,1.5679594136463477e-16
61,6.2e-11,1.1230855016632929e-16,1.4896782264377631e-16
62,6.3e-11,1.1259581755869762e-16,1.4746889575128678e-16
63,6.4e-11,1.1054116908283357e-16,1.4835557074444914e-16
64,6.500000000000001e-11,1.0933681296892435e-16,1.5224000427707686e-16
65,6.6e-11,1.0456285635380763e-16,1.4573911738476787e-16
66,6.7e-11,1.0831620555219106e-16,1.4892442934905309e-16
67,6.800000000000001e-11,1.0604114639114393e-16,1.4419104521635126e-16
68,6.900000000000001e-11,1.0744859188048052e-16,1.5757569527844556e-16
69,7e-11,1.0680357202225862e-16,1.551510584574302e-16
70,7.1e-11,1.1310411314158822e-16,1.5427315042203148e-16
71,7.200000000000001e-11,1.1761905641361584e-16,1.6573725969881318e-16
72,7.3e-11,1.1937930690595646e-16,1.6532298560407157e-16
73,7.4e-11,1.1672097572927338e-16,1.54121405920807e-16
74,7.5e-11,1.1554794684463938e-16,1.600228920642157e-16
75,7.600000000000001e-11,1.1586882319118448e-16,1.5833465239156737e-16
76,7.7e-11,1.2267754912874302e-16,1.615963693953471e-16
77,7.8e-11,1.1873930305141216e-16,1.5796573912592164e-16
78,7.900000000000001e-11,1.2035593717504286e-16,1.6455462243626e-16
79,8.000000000000001e-11,1.238831940142035e-16,1.6511125341670583e-16
80,8.1e-11,1.1908932106036524e-16,1.5897682607699765e-16
81,8.2e-11,1.2070241086994844e-16,1.7378156648597753e-16
82,8.300000000000001e-11,1.2443514999231853e-16,1.7804333819737079e-16
83,8.400000000000001e-11,1.2193141823540363e-16,1.6010318726429008e-16
84,8.5e-11,1.2140538983046095e-16,1.7123183538184858e-16
85,8.6e-11,1.2635832645306143e-16,1.7182735339826382e-16
86,8.700000000000001e-11,1.2717331013954052e-16,1.6631050177433e-16
87,8.8e-11,1.2447369020895425e-16,1.7432758709276526e-16
88,8.9e-11,1.2136102044028647e-16,1.6678393291796925e-16
89,9.000000000000001e-11,1.2644378064587185e-16,1.77012457152081e-16
90,9.100000000000001e-11,1.247299382123177e-16,1.7095805506273905e-16
91,9.2e-11,1.3092678386224867e-16,1.823997673182947e-16
92,9.3e-11,1.264034433776305e-16,1.79970966802516e-16
93,9.400000000000001e-11,1.2349357300547528e-16,1.8147408365539546e-16
94,9.500000000000001e-11,1.2674835258362928e-16,1.8156117100821632e-16
95,9.6e-11,1.2474243311193357e-16,1.833926824691848e-16
96,9.7e-11,1.2918551142120365e-16,1.9297868239964548e-16
97,9.800000000000001e-11,1.2964307733410305e-16,1.8805110096203017e-16
98,9.900000000000001e-11,1.2528808235670971e-16,1.8303554014106544e-16
99,1e-10,1.3292500232191587e-16,1.991557690425924e-16
