,Time,BUT,DMA
0,1e-12,1.0385699901996689e-16,8.745583722291234e-17
1,2e-12,7.873772954648043e-17,1.0452886669960737e-16
2,3e-12,1.449796652407511e-16,1.1800886559853069e-16
3,4e-12,1.7842384240979111e-16,1.4624828641488872e-16
4,5.0000000000000005e-12,1.9147239040698838e-16,1.4397340791135835e-16
5,6e-12,1.4162493086994395e-16,1.2997441709440195e-16
6,7.000000000000001e-12,1.483105325051674e-16,1.4247728768403991e-16
7,8e-12,1.4003022653124401e-16,1.4932927103291846e-16
8,9.000000000000001e-12,1.7246023598081313e-16,1.5815757637392256e-16
9,1.0000000000000001e-11,1.4509788842093833e-16,1.5862408098786683e-16
10,1.1e-11,2.1802947774872946e-16,1.468869873280292e-16
11,1.2e-11,2.0113711664536422e-16,1.579199178248832e-16
12,1.3e-11,2.4773925033980015e-16,1.4748015585609202e-16
13,1.4000000000000002e-11,2.785546043298166e-16,1.7142568166542926e-16
14,1.5e-11,2.5946379565649196e-16,1.7036419502414815e-16
15,1.6e-11,2.7721561118053374e-16,1.6767208906259838e-16
16,1.7000000000000003e-11,3.5045212665705377e-16,1.8767124193948427e-16
17,1.8000000000000002e-11,2.7965630608336094e-16,1.944767512565518e-16
18,1.9000000000000002e-11,2.6913059774810503e-16,2.1526075397297852e-16
19,2.0000000000000002e-11,3.5179187053085083e-16,1.9903406035194707e-16
20,2.1000000000000002e-11,3.6475838546509457e-16,2.0379685641901505e-16
21,2.2e-11,3.2387685368357404e-16,1.911654498218488e-16
22,2.3e-11,3.0590489332942237e-16,1.9168385112184135e-16
23,2.4e-11,3.0143930012047997e-16,2.288014654729658e-16
24,2.5e-11,3.1722232037938183e-16,2.100805878379631e-16
25,2.6e-11,2.7310385408450664e-16,2.0576166173296703e-16
26,2.7000000000000004e-11,3.464017808474227e-16,2.0379261159101883e-16
27,2.8000000000000003e-11,3.6645205275940645e-16,2.1041542689925682e-16
28,2.9000000000000003e-11,4.333864014255878e-16,2.1948522492977266e-16
29,3e-11,4.8184166480519095e-16,2.4538879697132366e-16
30,3.1e-11,4.895720257806781e-16,2.5036984406227803e-16
31,3.2e-11,4.294929075554071e-16,2.299796475162918e-16
32,3.3e-11,6.192501037947412e-16,2.458994403181871e-16
33,3.4000000000000005e-11,5.461134130484517e-16,2.5567874960511134e-16
34,3.5e-11,5.020103742133106e-16,2.5555339256289737e-16
35,3.6000000000000005e-11,4.915788965309284e-16,2.733747740778818e-16
36,3.7e-11,4.917694414251755e-16,2.6185117740270884e-16
37,3.8000000000000004e-11,5.254511908553167e-16,2.611379974137491e-16
38,3.9e-11,5.439054488669822e-16,2.6253129783587046e-16
39,4.0000000000000004e-11,5.600660419654565e-16,2.7447009695230885e-16
40,4.1e-11,5.802837610087778e-16,2.701790555716146e-16
41,4.2000000000000004e-11,6.152832228899352e-16,3.0138364904993296e-16
42,4.3e-11,5.391567227466685e-16,3.0332767891818733e-16
