,Time,DMA
0,1e-12,8.984602019543594e-17
1,2e-12,1.0430885862468191e-16
2,3e-12,1.5169618047518886e-16
3,4e-12,1.8098671241686553e-16
4,5.0000000000000005e-12,1.8127082543302674e-16
5,6e-12,1.9423802215078201e-16
6,7.000000000000001e-12,2.327699575510914e-16
7,8e-12,2.2250491906366507e-16
8,9.000000000000001e-12,2.2108078643454636e-16
9,1.0000000000000001e-11,2.8479403352037448e-16
10,1.1e-11,2.79265547900926e-16
11,1.2e-11,2.899006870896213e-16
12,1.3e-11,3.0359612774521e-16
13,1.4000000000000002e-11,2.9839864985613226e-16
14,1.5e-11,3.23399564758571e-16
15,1.6e-11,3.8608016981502846e-16
16,1.7000000000000003e-11,4.007349004789471e-16
17,1.8000000000000002e-11,4.0021000552206045e-16
18,1.9000000000000002e-11,3.64199119465047e-16
19,2.0000000000000002e-11,3.8301585549558305e-16
20,2.1000000000000002e-11,3.906203354553357e-16
21,2.2e-11,4.0520959906184944e-16
22,2.3e-11,4.334434634358495e-16
23,2.4e-11,4.1322787581217446e-16
24,2.5e-11,4.063122210820854e-16
25,2.6e-11,3.854684698632018e-16
26,2.7000000000000004e-11,4.462781729778907e-16
27,2.8000000000000003e-11,4.4993766295458425e-16
28,2.9000000000000003e-11,4.490629122591024e-16
29,3e-11,4.3019889384274985e-16
30,3.1e-11,4.3633840259766433e-16
31,3.2e-11,4.3766271370581516e-16
32,3.3e-11,4.471964540027367e-16
33,3.4000000000000005e-11,4.379364604970596e-16
34,3.5e-11,4.2862844415902656e-16
35,3.6000000000000005e-11,4.500268912836687e-16
36,3.7e-11,5.187804513498115e-16
37,3.8000000000000004e-11,4.723611265098692e-16
38,3.9e-11,4.800613042201689e-16
39,4.0000000000000004e-11,4.666180495598166e-16
40,4.1e-11,4.781800755667249e-16
41,4.2000000000000004e-11,4.625812177984256e-16
42,4.3e-11,4.769487409150672e-16
43,4.4e-11,4.676661612046418e-16
44,4.5000000000000006e-11,5.090596872620777e-16
45,4.6e-11,5.070021636222074e-16
46,4.7000000000000006e-11,4.9817844352591e-16
47,4.8e-11,5.297705399983199e-16
48,4.9000000000000005e-11,5.230355530815737e-16
49,5e-11,5.459919232267797e-16
50,5.1000000000000005e-11,5.455459477933017e-16
51,5.2e-11,5.471442515250125e-16
52,5.3000000000000004e-11,5.821566860153466e-16
53,5.400000000000001e-11,5.710939401174563e-16
54,5.5000000000000004e-11,5.328589756882984e-16
55,5.600000000000001e-11,5.428378417412801e-16
56,5.7000000000000003e-11,5.937325202369267e-16
57,5.8000000000000007e-11,5.91568112856281e-16
58,5.9e-11,5.936294994795356e-16
59,6e-11,5.627448893401694e-16
60,6.100000000000001e-11,5.919821588136666e-16
61,6.2e-11,5.872483694527655e-16
62,6.3e-11,6.157199205521018e-16
63,6.4e-11,6.1735792333264635e-16
64,6.500000000000001e-11,5.881946945976108e-16
65,6.6e-11,5.983249517569968e-16
66,6.7e-11,6.131393004875678e-16
67,6.800000000000001e-11,6.135957890347572e-16
68,6.900000000000001e-11,5.901582023866406e-16
69,7e-11,6.334192118391544e-16
70,7.1e-11,6.269428859655413e-16
71,7.200000000000001e-11,6.444422876813953e-16
72,7.3e-11,6.176783558924102e-16
73,7.4e-11,6.3695368608713045e-16
74,7.5e-11,6.321379417030867e-16
75,7.600000000000001e-11,6.318685455414256e-16
76,7.7e-11,6.371948182058908e-16
77,7.8e-11,6.542250786058784e-16
78,7.900000000000001e-11,6.648325576307975e-16
79,8.000000000000001e-11,6.546405177225354e-16
80,8.1e-11,6.717459485764083e-16
81,8.2e-11,6.696748889511509e-16
82,8.300000000000001e-11,6.431473673663711e-16
83,8.400000000000001e-11,6.651698328626224e-16
84,8.5e-11,6.324988578738661e-16
85,8.6e-11,6.238896682609958e-16
86,8.700000000000001e-11,6.576411241083933e-16
87,8.8e-11,6.743016798719537e-16
88,8.9e-11,6.882856114517074e-16
89,9.000000000000001e-11,6.5887040038932615e-16
90,9.100000000000001e-11,6.679385469677708e-16
91,9.2e-11,6.760220630019376e-16
92,9.3e-11,6.836319895898126e-16
93,9.400000000000001e-11,6.672899605083503e-16
94,9.500000000000001e-11,6.572274278030434e-16
95,9.6e-11,6.671142159157042e-16
96,9.7e-11,6.816472166481952e-16
97,9.800000000000001e-11,7.017719147768333e-16
98,9.900000000000001e-11,6.684858418388654e-16
99,1e-10,6.684482614983911e-16
100,1.0100000000000001e-10,6.645090240546535e-16
101,1.0200000000000001e-10,6.649743290685568e-16
102,1.03e-10,6.823163039510943e-16
103,1.04e-10,6.905592037425125e-16
104,1.0500000000000001e-10,6.610079730789125e-16
105,1.0600000000000001e-10,6.583958129177846e-16
106,1.07e-10,6.697762111967127e-16
107,1.0800000000000001e-10,6.759673193575514e-16
108,1.0900000000000001e-10,6.786460474449006e-16
109,1.1000000000000001e-10,6.854013546022324e-16
110,1.11e-10,7.090169620898651e-16
111,1.1200000000000001e-10,6.6064060743206e-16
112,1.1300000000000001e-10,6.980519086338101e-16
113,1.1400000000000001e-10,6.718411378144321e-16
114,1.15e-10,6.670511178350983e-16
115,1.1600000000000001e-10,6.499162365792417e-16
116,1.17e-10,6.467736455904851e-16
117,1.18e-10,7.124380534305029e-16
118,1.19e-10,7.020736834492908e-16
119,1.2e-10,6.888094250549429e-16
120,1.2100000000000002e-10,7.049288035517435e-16
121,1.2200000000000002e-10,7.284181815053647e-16
122,1.2300000000000001e-10,6.987636052009175e-16
123,1.24e-10,7.080526589961769e-16
124,1.25e-10,7.073288190111474e-16
125,1.26e-10,7.174713782986841e-16
126,1.27e-10,7.206339842484269e-16
127,1.28e-10,7.00157641319708e-16
128,1.2900000000000002e-10,7.2342761934001445e-16
129,1.3000000000000002e-10,7.107768811777976e-16
130,1.31e-10,7.175599774713999e-16
131,1.32e-10,7.153030550108428e-16
132,1.33e-10,7.169462790863149e-16
133,1.34e-10,7.489492523060149e-16
134,1.35e-10,7.571907595940228e-16
135,1.3600000000000002e-10,7.712323658336842e-16
136,1.3700000000000002e-10,7.505779396205839e-16
137,1.3800000000000001e-10,7.312587970478293e-16
138,1.39e-10,7.238201479966753e-16
139,1.4e-10,7.362261773585303e-16
140,1.41e-10,7.258696068659792e-16
141,1.42e-10,7.334307975683055e-16
142,1.4300000000000002e-10,7.580477394378931e-16
143,1.4400000000000002e-10,8.151901582947928e-16
144,1.4500000000000002e-10,7.382113054631794e-16
145,1.46e-10,7.556643263919634e-16
146,1.47e-10,7.85317850586582e-16
147,1.48e-10,7.571557914777736e-16
148,1.49e-10,7.230188770613985e-16
149,1.5e-10,7.450381915254856e-16
150,1.5100000000000002e-10,7.822207133166608e-16
151,1.5200000000000002e-10,7.920390754851437e-16
152,1.5300000000000001e-10,7.600437744199409e-16
153,1.54e-10,7.833516213139255e-16
154,1.55e-10,7.708848118340254e-16
155,1.56e-10,7.733472079807118e-16
156,1.57e-10,7.297361673792519e-16
157,1.5800000000000002e-10,7.134144998679228e-16
158,1.5900000000000002e-10,7.26759677260281e-16
159,1.6000000000000002e-10,6.992117038557972e-16
160,1.61e-10,7.419000431553994e-16
161,1.62e-10,7.542783448106836e-16
162,1.63e-10,7.905670004580821e-16
163,1.64e-10,7.917731777747467e-16
164,1.6500000000000002e-10,8.101091213835136e-16
165,1.6600000000000002e-10,8.166243329912564e-16
166,1.6700000000000002e-10,7.897234687679713e-16
167,1.6800000000000001e-10,7.969292263853066e-16
168,1.69e-10,7.821736354052315e-16
169,1.7e-10,8.170499519122231e-16
170,1.71e-10,8.476573705921975e-16
171,1.72e-10,8.050752216328782e-16
172,1.7300000000000002e-10,8.136584621490008e-16
173,1.7400000000000002e-10,8.140641605178651e-16
174,1.7500000000000002e-10,8.345264778955699e-16
175,1.76e-10,8.023351341556972e-16
176,1.77e-10,8.04651196585689e-16
177,1.78e-10,8.345645582683552e-16
178,1.79e-10,8.126516476037498e-16
179,1.8000000000000002e-10,8.435885110986231e-16
180,1.8100000000000002e-10,8.545821352335609e-16
181,1.8200000000000002e-10,8.546576969730189e-16
182,1.8300000000000001e-10,8.844868708678672e-16
183,1.84e-10,8.811143899266631e-16
184,1.85e-10,8.491099518562059e-16
185,1.86e-10,8.7840475683794865e-16
186,1.8700000000000003e-10,8.839337480672263e-16
187,1.8800000000000002e-10,8.607810721470349e-16
188,1.8900000000000002e-10,8.886395330962923e-16
189,1.9000000000000002e-10,8.88453280450647e-16
190,1.91e-10,8.807203434117788e-16
191,1.92e-10,8.838702730205439e-16
192,1.93e-10,9.288731595026911e-16
193,1.94e-10,9.393686404754036e-16
194,1.9500000000000002e-10,9.12270753260024e-16
195,1.9600000000000002e-10,9.29418910398646e-16
196,1.9700000000000002e-10,9.016065798027805e-16
197,1.9800000000000001e-10,9.220662112738805e-16
198,1.99e-10,8.978148522665552e-16
199,2e-10,9.191682146945817e-16
200,2.01e-10,9.115284710611585e-16
201,2.0200000000000003e-10,9.123652985424688e-16
202,2.0300000000000002e-10,8.863042412940427e-16
203,2.0400000000000002e-10,8.767927334875894e-16
204,2.0500000000000002e-10,9.116443927504237e-16
205,2.06e-10,9.358161844997703e-16
206,2.07e-10,9.330627967104641e-16
207,2.08e-10,8.94701706565455e-16
208,2.0900000000000003e-10,8.800094081254702e-16
209,2.1000000000000002e-10,8.776692607794875e-16
210,2.1100000000000002e-10,8.915571353939879e-16
211,2.1200000000000002e-10,9.047110799094258e-16
212,2.1300000000000001e-10,8.768303192512969e-16
213,2.14e-10,8.856028720798493e-16
214,2.15e-10,8.537806598030247e-16
215,2.1600000000000003e-10,8.611743712567237e-16
216,2.1700000000000003e-10,8.8547593827618e-16
217,2.1800000000000002e-10,8.842459588248893e-16
218,2.1900000000000002e-10,8.616508421465624e-16
219,2.2000000000000002e-10,8.868303700630955e-16
220,2.21e-10,8.773003383832968e-16
221,2.22e-10,8.910657590449053e-16
222,2.23e-10,8.841081748767046e-16
223,2.2400000000000003e-10,8.982057833136323e-16
224,2.2500000000000002e-10,9.25766563895547e-16
225,2.2600000000000002e-10,9.2695219896822e-16
226,2.2700000000000002e-10,8.773829315827795e-16
227,2.2800000000000001e-10,8.836386799248503e-16
228,2.29e-10,8.685419813136205e-16
229,2.3e-10,8.827795238499589e-16
230,2.3100000000000003e-10,8.618897104872034e-16
231,2.3200000000000003e-10,8.819952616891573e-16
232,2.33e-10,8.931365605046217e-16
233,2.34e-10,9.076106086911274e-16
234,2.35e-10,9.14091509593109e-16
235,2.36e-10,8.756469036269567e-16
236,2.37e-10,8.945234269256447e-16
237,2.38e-10,8.918201889496013e-16
238,2.39e-10,9.051057579830243e-16
239,2.4e-10,9.452721467260293e-16
240,2.41e-10,9.066123060094863e-16
241,2.4200000000000004e-10,9.497925349063854e-16
242,2.4300000000000004e-10,9.264315710051516e-16
243,2.4400000000000004e-10,8.891941783392135e-16
244,2.4500000000000003e-10,9.413477902909499e-16
245,2.4600000000000003e-10,9.250798371832876e-16
246,2.4700000000000003e-10,9.237714078030434e-16
247,2.48e-10,9.486426091220312e-16
248,2.49e-10,9.418167244681194e-16
249,2.5e-10,9.837717350582125e-16
250,2.51e-10,9.779337353101077e-16
251,2.52e-10,9.405475165379105e-16
252,2.53e-10,9.168350540350687e-16
253,2.54e-10,9.758928159667712e-16
254,2.55e-10,9.570479530671427e-16
255,2.56e-10,9.506799724090438e-16
256,2.5700000000000004e-10,9.311849239025716e-16
257,2.5800000000000004e-10,9.078944521857735e-16
258,2.5900000000000004e-10,9.079612091849326e-16
259,2.6000000000000003e-10,9.349438349308974e-16
260,2.6100000000000003e-10,9.404447697125824e-16
261,2.62e-10,9.269197408547485e-16
262,2.63e-10,9.319556988085947e-16
263,2.64e-10,9.36098153628497e-16
264,2.65e-10,8.862530247683352e-16
265,2.66e-10,9.155030072732493e-16
266,2.67e-10,9.048492612637655e-16
267,2.68e-10,9.108534877453773e-16
268,2.69e-10,9.186472647611666e-16
269,2.7e-10,9.266994410324585e-16
270,2.7100000000000005e-10,9.430026643111324e-16
271,2.7200000000000004e-10,9.202942802128037e-16
272,2.7300000000000004e-10,9.246048704903052e-16
273,2.7400000000000004e-10,9.426937114892032e-16
274,2.7500000000000003e-10,9.127335321515241e-16
275,2.7600000000000003e-10,9.584654575236055e-16
276,2.77e-10,9.593696748233822e-16
277,2.78e-10,9.206515847346842e-16
278,2.79e-10,9.523628226848812e-16
279,2.8e-10,9.912656983706335e-16
280,2.81e-10,9.330698900558565e-16
281,2.82e-10,9.6942910241064e-16
282,2.83e-10,9.7514407395301e-16
283,2.84e-10,9.531007776418775e-16
284,2.85e-10,9.629831521339553e-16
285,2.8600000000000005e-10,1.0083798512519217e-15
286,2.8700000000000004e-10,9.998812925539166e-16
